first name,last name,state,type,birthday,phone,email
Richard,Durbin,IL,Qualified,11/21/1944,202-224-2152,http://www.durbin.senate.gov/public/index.cfm/contact
Danny,Davis,IL,Qualified,9/6/1941,202-225-5006,https://davis.house.gov/email-me
Luis,Gutiérrez,IL,Qualified,12/10/1953,202-225-8203,http://gutierrezforms.house.gov/contact/
Randy,Hultgren,IL,Qualified,3/1/1966,202-225-2976,https://hultgren.house.gov/contact/email-randy
Adam,Kinzinger,IL,Qualified,2/27/1978,202-225-3635,https://kinzinger.house.gov/email-adam
Mark,Kirk,IL,Qualified,9/15/1959,202-224-2854,http://www.kirk.senate.gov/?p=comment_on_legislation
Daniel,Lipinski,IL,Qualified,7/15/1966,202-225-5701,https://lipinskiforms.house.gov/contact-form
Mike,Quigley,IL,Qualified,10/17/1958,202-225-4061,https://quigleyforms.house.gov/forms/writeyourrep/
Peter,Roskam,IL,Qualified,9/13/1961,202-225-4561,https://roskam.house.gov/contact/email-me
Bobby,Rush,IL,Qualified,11/23/1946,202-225-4372,https://rush.house.gov/contact-me/legislative-issues
Janice,Schakowsky,IL,Qualified,5/26/1944,202-225-2111,https://schakowsky.house.gov/write-to-congresswoman-jan-schakowsky
John,Shimkus,IL,Qualified,2/21/1958,202-225-5271,https://shimkus.house.gov/contact/email-me
Bill,Foster,IL,Qualified,10/7/1955,202-225-3515,https://foster.house.gov/contact/email-me
Tammy,Duckworth,IL,Qualified,3/12/1968,202-225-3711,https://duckworth.house.gov/contact/email-me
Rodney,Davis,IL,Qualified,1/5/1970,202-225-2371,https://rodneydavisforms.house.gov/contact/
Cheri,Bustos,IL,Qualified,10/17/1961,202-225-5905,http://bustos.house.gov/contact
Robin,Kelly,IL,Qualified,4/30/1956,202-225-0773,https://robinkelly.house.gov/contact/email-me
Bob,Dold,IL,Qualified,6/23/1969,202-225-4835,
Mike,Bost,IL,Qualified,12/30/1960,202-225-5661,
Darin,LaHood,IL,Qualified,7/5/1968,202-225-6201,https://lahood.house.gov/contact/email
