first name,last name,state,type,birthday,phone,email
Benjamin,Cardin,MD,Qualified,10/5/1943,202-224-4524,http://www.cardin.senate.gov/contact/
Elijah,Cummings,MD,Qualified,1/18/1951,202-225-4741,https://cummings.house.gov/contact-me/email-me
Donna,Edwards,MD,Qualified,6/28/1958,202-225-8699,https://forms.house.gov/formdonnaedwards/issue_subscribe.shtml
Andy,Harris,MD,Qualified,1/25/1957,202-225-5311,https://harris.house.gov/contact-me/email-me
Steny,Hoyer,MD,Qualified,6/14/1939,202-225-4131,https://hoyer.house.gov/email-steny
Barbara,Mikulski,MD,Qualified,7/20/1936,202-224-4654,http://www.mikulski.senate.gov/contact/shareyouropinion.cfm
C.,Ruppersberger,MD,Qualified,1/31/1946,202-225-3061,http://ruppersberger.house.gov/contact-dutch/email-dutch
John,Sarbanes,MD,Qualified,5/22/1962,202-225-4016,http://sarbanes.house.gov/federal.asp
Chris,Van Hollen,MD,Qualified,1/10/1959,202-225-5341,http://vanhollen.house.gov/contact/
John,Delaney,MD,Qualified,4/16/1963,202-225-2721,https://delaney.house.gov/contact/email-me
