first name,last name,state,type,birthday,phone,email
Amy,Klobuchar,MN,Qualified,5/25/1960,202-224-3244,http://www.klobuchar.senate.gov/public/email-amy
Alan,Franken,MN,Qualified,5/21/1951,202-224-5641,http://www.franken.senate.gov/?p=email_al
Keith,Ellison,MN,Qualified,8/4/1963,202-225-4755,http://ellison.house.gov/contact
John,Kline,MN,Qualified,9/6/1947,202-225-2271,http://kline.house.gov/contact/
Betty,McCollum,MN,Qualified,7/12/1954,202-225-6631,https://mccollum.house.gov/contact-me/email-me
Erik,Paulsen,MN,Qualified,5/14/1965,202-225-2871,https://paulsenforms.house.gov/contact-me
Collin,Peterson,MN,Qualified,6/29/1944,202-225-2165,https://collinpeterson.house.gov/contact-me/email-me
Timothy,Walz,MN,Qualified,4/6/1964,202-225-2472,http://walz.house.gov/contact
Richard,Nolan,MN,Qualified,12/17/1943,202-225-6211,https://nolan.house.gov/contact/email-me
Tom,Emmer,MN,Qualified,3/3/1961,202-225-2331,
