first name,last name,state,type,birthday,phone,email
Richard,Burr,NC,Qualified,11/30/1955,202-224-3154,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm
George,Butterfield,NC,Qualified,4/27/1947,202-225-3101,https://butterfield.house.gov/email-congressman-butterfield
Renee,Ellmers,NC,Qualified,2/9/1964,202-225-4531,https://ellmersforms.house.gov/contact-us1
Virginia,Foxx,NC,Qualified,6/29/1943,202-225-2071,https://foxx.house.gov/forms/writeyourrep/?zip5=&zip4=
Walter,Jones,NC,Qualified,2/10/1943,202-225-3415,https://jones.house.gov/contact-me/email-me
Patrick,McHenry,NC,Qualified,10/22/1975,202-225-2576,http://mchenry.house.gov/contact/zipauth.htm
David,Price,NC,Qualified,8/17/1940,202-225-1784,https://price.house.gov/contact
Richard,Hudson,NC,Qualified,11/4/1971,202-225-3715,https://hudson.house.gov/email-me
Robert,Pittenger,NC,Qualified,8/15/1948,202-225-1976,https://pittenger.house.gov/contact/email-me
Mark,Meadows,NC,Qualified,7/28/1959,202-225-6401,https://meadows.house.gov/email-me
George,Holding,NC,Qualified,4/17/1968,202-225-3032,https://holding.house.gov/contact/email-me
Alma,Adams,NC,Qualified,5/27/1946,202-225-1510,http://adams.house.gov/contact
David,Rouzer,NC,Qualified,2/16/1972,202-225-2731,
Thom,Tillis,NC,Qualified,8/30/1960,202-224-6342,
Mark,Walker,NC,Qualified,5/20/1969,202-225-3065,
