first name,last name,state,type,birthday,phone,email
Bob,Corker,TN,Qualified,8/24/1952,202-224-3344,http://www.corker.senate.gov/public/index.cfm/emailme
Lamar,Alexander,TN,Qualified,7/3/1940,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email
Diane,Black,TN,Qualified,1/16/1951,202-225-4231,https://black.house.gov/contact-me/email-me
Marsha,Blackburn,TN,Qualified,6/6/1952,202-225-2811,https://blackburn.house.gov/contactform/email.htm
Steve,Cohen,TN,Qualified,5/24/1949,202-225-3265,https://cohen.house.gov/contact-me/email-me
Jim,Cooper,TN,Qualified,6/19/1954,202-225-4311,https://cooper.house.gov/contact/email-me
Scott,DesJarlais,TN,Qualified,2/21/1964,202-225-6831,http://desjarlais.house.gov/contact/email-me
John,Duncan,TN,Qualified,7/21/1947,202-225-5435,https://duncan.house.gov/contact-me/email-me
Stephen,Fincher,TN,Qualified,2/7/1973,202-225-4714,https://fincher.house.gov/contact/email-me#.U06uR_ldWVo
Charles,Fleischmann,TN,Qualified,10/11/1962,202-225-3271,https://fleischmann.house.gov/contact-me/email-me
David,Roe,TN,Qualified,7/21/1945,202-225-6356,https://roe.house.gov/contact/contactform.htm?zip5=37813&zip4=1659
