first name,last name,state,type,birthday,phone,email
Sanford,Bishop,GA,Qualified,2/4/1947,202-225-3631,http://bishop.house.gov/contact
Tom,Graves,GA,Qualified,2/3/1970,202-225-5211,http://tomgraves.house.gov/contact/
John,Isakson,GA,Qualified,12/28/1944,202-224-3643,http://www.isakson.senate.gov/public/index.cfm/email-me
Henry,Johnson,GA,Qualified,10/2/1954,202-225-1605,https://hankjohnson.house.gov/contact-me/email-me
John,Lewis,GA,Qualified,2/21/1940,202-225-3801,https://johnlewis.house.gov/contact-me/email-me-zip
Tom,Price,GA,Qualified,10/8/1954,202-225-4501,https://tomprice.house.gov/contact-me
Austin,Scott,GA,Qualified,12/10/1969,202-225-6531,https://austinscott.house.gov/email-me/
David,Scott,GA,Qualified,6/27/1945,202-225-2939,https://davidscott.house.gov/contact/contactform.htm
Lynn,Westmoreland,GA,Qualified,4/2/1950,202-225-5901,https://westmoreland.house.gov/email-me
Rob,Woodall,GA,Qualified,2/11/1970,202-225-4272,https://woodall.house.gov/contact-me/email-me
Doug,Collins,GA,Qualified,8/16/1966,202-225-9893,https://dougcollins.house.gov/email-me
Buddy,Carter,GA,Qualified,9/6/1957,202-225-5831,
Jody,Hice,GA,Qualified,4/22/1960,202-225-4101,
Barry,Loudermilk,GA,Qualified,12/22/1963,202-225-2931,
Rick,Allen,GA,Qualified,11/7/1951,202-225-2823,
David,Perdue,GA,Qualified,12/10/1949,202-224-3521,
