first name,last name,state,type,birthday,phone,email
Dianne,Feinstein,CA,Qualified,6/22/1933,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me
Karen,Bass,CA,Qualified,10/3/1953,202-225-7084,https://bass.house.gov/contact-me/email-me
Xavier,Becerra,CA,Qualified,1/26/1958,202-225-6235,http://becerraforms.house.gov/forms/writeyourrep/
Barbara,Boxer,CA,Qualified,11/11/1940,202-224-3553,https://www.boxer.senate.gov/contact/shareyourviews.html
Ken,Calvert,CA,Qualified,6/8/1953,202-225-1986,https://calvert.house.gov/contactform/
Lois,Capps,CA,Qualified,1/10/1938,202-225-3601,https://capps.house.gov/contact-me/email-me
Judy,Chu,CA,Qualified,7/7/1953,202-225-5464,http://chu.house.gov/connect-with-me/email-judy
Jim,Costa,CA,Qualified,4/13/1952,202-225-3341,http://www.house.gov/formcosta/issue.htm
Susan,Davis,CA,Qualified,4/13/1944,202-225-2040,https://susandavisforms.house.gov/forms/writeyourrep/
Jeff,Denham,CA,Qualified,7/29/1967,202-225-4540,https://denham.house.gov/contact-me/email-me
Anna,Eshoo,CA,Qualified,12/13/1942,202-225-8104,https://eshoo.house.gov/email-me/
Sam,Farr,CA,Qualified,7/4/1941,202-225-2861,https://forms.house.gov/farr/webforms/issue_subscribe.html
John,Garamendi,CA,Qualified,1/24/1945,202-225-1880,https://garamendi.house.gov/contact-me/email-me
Michael,Honda,CA,Qualified,6/27/1941,202-225-2631,http://honda.house.gov/contact
Duncan,Hunter,CA,Likely,12/7/1976,202-225-5672,https://hunter.house.gov/contact-me/email-me
Darrell,Issa,CA,Likely,11/1/1953,202-225-3906,http://issa.house.gov/contact/contact-me
Barbara,Lee,CA,Likely,7/16/1946,202-225-2661,http://lee.house.gov/contact-the-office/email-me
Zoe,Lofgren,CA,Likely,12/21/1947,202-225-3072,http://lofgren.house.gov/contact/
Doris,Matsui,CA,Likely,9/25/1944,202-225-7163,https://matsui.house.gov/email-representative-matsui
Kevin,McCarthy,CA,Likely,1/26/1965,202-225-2915,https://kevinmccarthy.house.gov/contact/email-me
Tom,McClintock,CA,Likely,7/10/1956,202-225-2511,https://mcclintockforms.house.gov/forms/contact-form.shtml
Jerry,McNerney,CA,Likely,6/18/1951,202-225-1947,https://mcnerney.house.gov/contact/email-me
Grace,Napolitano,CA,Likely,12/4/1936,202-225-5256,https://napolitano.house.gov/contact-me/email-me
Devin,Nunes,CA,Likely,10/1/1973,202-225-2523,https://nunes.house.gov/contactform/default.aspx
Nancy,Pelosi,CA,Likely,3/26/1940,202-225-4965,http://pelosi.house.gov/contact-me/email-me
Dana,Rohrabacher,CA,Likely,6/21/1947,202-225-2415,https://rohrabacher.house.gov/contact/email-me
Lucille,Roybal-Allard,CA,Likely,6/12/1941,202-225-1766,http://roybal-allard.house.gov/contact/
Edward,Royce,CA,Likely,10/12/1951,202-225-4111,https://royce.house.gov/contact/contactform.htm
Loretta,Sanchez,CA,Likely,1/7/1960,202-225-2965,https://lorettasanchez.house.gov/contact-me/email-me
Adam,Schiff,CA,Likely,6/22/1960,202-225-4176,https://schiff.house.gov/contact
Brad,Sherman,CA,Likely,10/24/1954,202-225-5911,http://sherman.house.gov/contact/contact-congressman-sherman-form
Jackie,Speier,CA,Likely,5/14/1950,202-225-3531,https://forms.house.gov/speier/webforms/email_jackie.shtml
Linda,S�nchez,CA,Unlikely,1/28/1969,202-225-6676,https://forms.house.gov/lindasanchez/webforms/issue_subscribe.htm
Mike,Thompson,CA,Unlikely,1/24/1951,202-225-3311,https://mikethompson.house.gov/contact/email-me
Maxine,Waters,CA,Unlikely,8/15/1938,202-225-2201,https://waters.house.gov/contact/contactform.htm
Janice,Hahn,CA,Unlikely,3/30/1952,202-225-8220,https://hahn.house.gov/contact-me/email-me
Doug,LaMalfa,CA,Unlikely,7/2/1960,202-225-3076,https://lamalfa.house.gov/contact/email-me
Jared,Huffman,CA,Unlikely,2/18/1964,202-225-5161,https://huffman.house.gov/contact/email-me
Ami,Bera,CA,Unlikely,3/2/1965,202-225-5716,https://beraforms.house.gov/forms/writeyourrep/
Paul,Cook,CA,Unlikely,3/3/1943,202-225-5861,https://cook.house.gov/contact/email-me
Eric,Swalwell,CA,Unlikely,11/16/1980,202-225-5065,http://swalwell.house.gov/contact-me/email-eric/
David,Valadao,CA,Unlikely,4/14/1977,202-225-4695,http://valadao.house.gov/contact/
Julia,Brownley,CA,Unlikely,8/28/1952,202-225-5811,https://juliabrownley.house.gov/contact/email-me
Tony,C�rdenas,CA,Unlikely,3/31/1963,202-225-6131,https://cardenas.house.gov/contact/email-me
Raul,Ruiz,CA,Unlikely,8/25/1972,202-225-5330,https://ruiz.house.gov/email-me
Mark,Takano,CA,Unlikely,12/10/1960,202-225-2305,https://takano.house.gov/contact/email-me
Alan,Lowenthal,CA,Unlikely,3/8/1941,202-225-7924,http://lowenthal.house.gov/contact/howtocontactme.htm
Juan,Vargas,CA,Unlikely,3/7/1961,202-225-8045,https://vargas.house.gov/contact
Scott,Peters,CA,Unlikely,6/17/1958,202-225-0508,https://scottpeters.house.gov/contact/email-me
Mark,DeSaulnier,CA,Unlikely,3/31/1952,202-225-2095,
Steve,Knight,CA,Unlikely,12/17/1966,202-225-1956,
Pete,Aguilar,CA,Unlikely,6/19/1979,202-225-3201,
Ted,Lieu,CA,Unlikely,3/29/1969,202-225-3976,
Norma,Torres,CA,Unlikely,4/4/1965,202-225-6161,
Mimi,Walters,CA,Unlikely,5/14/1962,202-225-5611,
Michael,Bennet,CO,Qualified,11/28/1964,202-224-5852,http://www.bennet.senate.gov/contact/email
Mike,Coffman,CO,Qualified,3/19/1955,202-225-7882,https://coffman.house.gov/contact/email-me
Diana,DeGette,CO,Qualified,7/29/1957,202-225-4431,https://degette.house.gov/contact/send-me-an-email/email-me
Cory,Gardner,CO,Qualified,8/22/1974,202-224-5941,
Doug,Lamborn,CO,Qualified,5/24/1954,202-225-4422,https://lambornforms.house.gov/contact-form
Ed,Perlmutter,CO,Qualified,5/1/1953,202-225-2645,https://forms.house.gov/perlmutter/webforms/contact.shtml
