first name,last name,state,type,birthday,phone,email
Debbie,Stabenow,MI,Qualified,4/29/1950,202-224-4822,http://www.stabenow.senate.gov/?p=contact
Justin,Amash,MI,Qualified,4/18/1980,202-225-3831,https://amash.house.gov/contact-me/email-me
Dan,Benishek,MI,Qualified,4/20/1952,202-225-4735,https://benishek.house.gov/contact-me/email-me
John,Conyers,MI,Qualified,5/16/1929,202-225-5126,https://conyers.house.gov/index.cfm/online-contact-form
Bill,Huizenga,MI,Qualified,1/31/1969,202-225-4401,http://huizenga.house.gov/contact/
Sander,Levin,MI,Qualified,9/6/1931,202-225-4961,https://levin.house.gov/contact-me/email-me
Candice,Miller,MI,Qualified,5/7/1954,202-225-2106,http://candicemiller.house.gov/contact
Gary,Peters,MI,Qualified,12/1/1958,202-224-6221,
Fred,Upton,MI,Qualified,4/23/1953,202-225-3761,http://upton.house.gov/contact/zipauth.htm
Tim,Walberg,MI,Qualified,4/12/1951,202-225-6276,https://walberg.house.gov/contact/contactform.htm
Daniel,Kildee,MI,Qualified,8/11/1958,202-225-3611,https://dankildee.house.gov/contact/email-me
John,Moolenaar,MI,Qualified,5/8/1961,202-225-3561,
Mike,Bishop,MI,Qualified,3/18/1967,202-225-4872,
Dave,Trott,MI,Qualified,10/16/1960,202-225-8171,
Debbie,Dingell,MI,Qualified,11/23/1953,202-225-4071,
Brenda,Lawrence,MI,Qualified,10/18/1954,202-225-5802,
