first name,last name,state,type,birthday,phone,email
John,Cornyn,TX,Qualified,2/2/1952,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm
Joe,Barton,TX,Qualified,9/15/1949,202-225-2002,https://joebarton.house.gov/contact1/
Kevin,Brady,TX,Qualified,4/11/1955,202-225-4901,https://kevinbrady.house.gov/contact-form
Michael,Burgess,TX,Qualified,12/23/1950,202-225-7772,http://burgess.house.gov/contact/356345.htm
John,Carter,TX,Qualified,11/6/1941,202-225-3864,https://carter.house.gov/email-john2
K.,Conaway,TX,Qualified,6/11/1948,202-225-3605,https://conaway.house.gov/forms/writeyourrep/default.aspx
Henry,Cuellar,TX,Qualified,9/19/1955,202-225-1640,https://cuellar.house.gov/forms/writeyourrep/default.aspx
John,Culberson,TX,Qualified,8/24/1956,202-225-2571,https://culbersonforms.house.gov/forms/writeyourrep/default.aspx
Lloyd,Doggett,TX,Qualified,10/6/1946,202-225-4865,https://forms.house.gov/doggett/webforms/issue_subscribe.htm
Blake,Farenthold,TX,Qualified,12/12/1961,202-225-7742,http://farentholdforms.house.gov/contact/email.htm
Bill,Flores,TX,Qualified,2/25/1954,202-225-6105,https://billflores.house.gov/contact/
Louie,Gohmert,TX,Qualified,8/18/1953,202-225-3035,http://gohmert.house.gov/contact/
Kay,Granger,TX,Qualified,1/18/1943,202-225-5071,http://kaygranger.house.gov/contact-kay/email-me
Al,Green,TX,Qualified,9/1/1947,202-225-7508,https://algreen.house.gov/contact-me/email-me
Gene,Green,TX,Qualified,10/17/1947,202-225-1688,https://green.house.gov/contact-me/email-me
Jeb,Hensarling,TX,Qualified,5/29/1957,202-225-3484,https://hensarling.house.gov/contact/email-me
Rubén,Hinojosa,TX,Qualified,8/20/1940,202-225-2531,https://hinojosa.house.gov/contact-me/email-me
Sheila,Jackson Lee,TX,Qualified,1/12/1950,202-225-3816,http://jacksonlee.house.gov/contact/
Eddie,Johnson,TX,Qualified,12/3/1935,202-225-8885,https://ebjohnson.house.gov/contact/email-me
Sam,Johnson,TX,Qualified,10/11/1930,202-225-4201,http://samjohnson.house.gov/contact/
Kenny,Marchant,TX,Qualified,2/23/1951,202-225-6605,https://marchant.house.gov/contact/contactform.htm
Michael,McCaul,TX,Qualified,1/14/1962,202-225-2401,https://mccaul.house.gov/contact/email-me
Randy,Neugebauer,TX,Qualified,12/24/1949,202-225-4005,https://randy.house.gov/contact-me/email-me
Pete,Olson,TX,Qualified,12/9/1962,202-225-5951,https://forms.house.gov/olson/contact-form.shtml
Ted,Poe,TX,Qualified,9/10/1948,202-225-6565,https://poe.house.gov/index.cfm/contact-form#form_D05B44B5-B782-4DC7-BED6-FF0C90951FFF
Pete,Sessions,TX,Qualified,3/22/1955,202-225-2231,https://sessions.house.gov/index.cfm/contact-form
Lamar,Smith,TX,Qualified,11/19/1947,202-225-4236,http://lamarsmith.house.gov/contact/email-lamar
Mac,Thornberry,TX,Qualified,7/15/1958,202-225-3706,https://thornberry.house.gov/forms/writeyourrep/
Ted,Cruz,TX,Qualified,12/22/1970,202-224-5922,http://www.cruz.senate.gov/?p=email_senator
Randy,Weber,TX,Qualified,7/2/1953,202-225-2831,https://weber.house.gov/contact/email-me
Beto,O'Rourke,TX,Qualified,9/26/1972,202-225-4831,https://orourkeforms.house.gov/forms/writeyourrep/
Joaquin,Castro,TX,Qualified,9/16/1974,202-225-3236,https://castro.house.gov/contact/email-me
Roger,Williams,TX,Qualified,9/13/1949,202-225-9896,https://williams.house.gov/contact/email-me
Marc,Veasey,TX,Qualified,1/3/1971,202-225-9897,https://veaseyforms.house.gov/forms/writeyourrep/
Filemon,Vela,TX,Qualified,2/13/1963,202-225-9901,https://forms.house.gov/vela/webforms/email-me.shtml
John,Ratcliffe,TX,Qualified,10/20/1965,202-225-6673,
Will,Hurd,TX,Qualified,8/19/1977,202-225-4511,
Brian,Babin,TX,Qualified,3/23/1948,202-225-1555,
