first name,last name,state,type,birthday,phone,email
Maria,Cantwell,WA,Qualified,10/13/1958,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria
Jaime,Herrera Beutler,WA,Qualified,11/3/1978,202-225-3536,http://herrerabeutler.house.gov/contact/
Rick,Larsen,WA,Qualified,6/15/1965,202-225-2605,http://larsen.house.gov/contact-rick/email-rick
Jim,McDermott,WA,Qualified,12/28/1936,202-225-3106,https://forms.house.gov/mcdermott/webforms/new/contact.shtml
Cathy,McMorris Rodgers,WA,Qualified,5/22/1969,202-225-2006,https://mcmorrisforms.house.gov/write-to-cathy1
Patty,Murray,WA,Qualified,10/11/1950,202-224-2621,http://www.murray.senate.gov/public/index.cfm/contactme
David,Reichert,WA,Qualified,8/29/1950,202-225-7761,https://reichert.house.gov/contact-me
Adam,Smith,WA,Qualified,6/15/1965,202-225-8901,https://adamsmith.house.gov/contact/contactform.htm
Suzan,DelBene,WA,Qualified,2/17/1962,202-225-6311,http://delbene.house.gov/contact-me/email-me
Derek,Kilmer,WA,Qualified,1/1/1974,202-225-5916,https://kilmer.house.gov/contact/email-me
Denny,Heck,WA,Qualified,7/29/1952,202-225-9740,https://dennyheck.house.gov/contact/email-me
Dan,Newhouse,WA,Qualified,7/10/1955,202-225-5816,
