first name,last name,state,type,birthday,phone,email
Tammy,Baldwin,WI,Qualified,2/11/1962,202-224-5653,http://www.baldwin.senate.gov/contact
Sean,Duffy,WI,Qualified,10/3/1971,202-225-3365,http://duffy.house.gov/contact
Ron,Johnson,WI,Qualified,4/8/1955,202-224-5323,http://www.ronjohnson.senate.gov/public/index.cfm/contact
Ron,Kind,WI,Qualified,3/16/1963,202-225-5506,https://kindforms.house.gov/email-ron
Gwen,Moore,WI,Qualified,4/18/1951,202-225-4572,https://gwenmoore.house.gov/contact-form
Reid,Ribble,WI,Qualified,4/5/1956,202-225-5665,https://ribble.house.gov/contact-me/email-me
Paul,Ryan,WI,Qualified,1/29/1970,202-225-3031,https://paulryan.house.gov/contact/email.htm#.U032ra1dU_d
F.,Sensenbrenner,WI,Qualified,6/14/1943,202-225-5101,http://sensenbrenner.house.gov/contact/email.htm
Mark,Pocan,WI,Qualified,8/14/1964,202-225-2906,https://pocan.house.gov/contact/email-me
Glenn,Grothman,WI,Qualified,7/3/1955,202-225-2476,
