first name,last name,state,type,birthday,phone,email
Jeff,Flake,AZ,Qualified,12/31/1962,202-224-4521,http://www.flake.senate.gov/contact.cfm
Trent,Franks,AZ,Qualified,6/19/1957,202-225-4576,https://franks.house.gov/contact-me/email-me
Paul,Gosar,AZ,Qualified,11/22/1958,202-225-2315,https://gosar.house.gov/contact-me/email-me
Raúl,Grijalva,AZ,Qualified,2/19/1948,202-225-2435,https://grijalvaforms.house.gov/email-raul
John,McCain,AZ,Qualified,8/29/1936,202-224-2235,http://www.mccain.senate.gov/public/index.cfm/contact-form
David,Schweikert,AZ,Qualified,3/3/1962,202-225-2190,https://schweikert.house.gov/contact-form
Matt,Salmon,AZ,Qualified,1/21/1958,202-225-2635,https://salmon.house.gov/contact/email-me
Ann,Kirkpatrick,AZ,Qualified,3/24/1950,202-225-3361,https://kirkpatrick.house.gov/contact/email-me
Kyrsten,Sinema,AZ,Qualified,7/12/1976,202-225-9888,https://sinemaforms.house.gov/forms/writeyourrep/
Martha,McSally,AZ,Qualified,3/22/1966,202-225-2542,
Ruben,Gallego,AZ,Qualified,11/20/1979,202-225-4065,
