lastname,firstname,birthday,type,state,party,website,phone,contact_form
Michael,Capuano,MA,Democrat,1/9/1952,202-225-5111,http://www.house.gov/capuano/contact/email.shtml,http://capuano.house.gov
William,Keating,MA,Democrat,9/6/1952,202-225-3111,https://forms.house.gov/keating/webforms/contact.shtml,http://keating.house.gov
Stephen,Lynch,MA,Democrat,3/31/1955,202-225-8273,https://lynch.house.gov/contact-me/email-me,http://lynch.house.gov
Edward,Markey,MA,Democrat,7/11/1946,202-224-2742,http://www.markey.senate.gov/contact,http://www.markey.senate.gov
James,McGovern,MA,Democrat,11/20/1959,202-225-6101,https://mcgovern.house.gov/contact/email-me,http://mcgovern.house.gov
Richard,Neal,MA,Democrat,2/14/1949,202-225-5601,https://forms.house.gov/neal/webforms/Contact_Form.shtml,http://neal.house.gov
Niki,Tsongas,MA,Democrat,4/26/1946,202-225-3411,https://tsongas.house.gov/e-mail-niki/,http://tsongas.house.gov
Elizabeth,Warren,MA,Democrat,6/22/1949,202-224-4543,http://www.warren.senate.gov/?p=email_senator#thisForm,http://www.warren.senate.gov
Joseph,Kennedy,MA,Democrat,10/4/1980,202-225-5931,https://kennedy.house.gov/contact/email-me,http://kennedy.house.gov
Katherine,Clark,MA,Democrat,7/17/1963,202-225-2836,https://katherineclark.house.gov/index.cfm/email-me,https://katherineclark.house.gov
Seth,Moulton,MA,Democrat,10/24/1978,202-225-8020,,https://moulton.house.gov
