first name,last name,state,type,birthday,phone,email
Michael,Capuano,MA,Qualified,1/9/1952,202-225-5111,http://www.house.gov/capuano/contact/email.shtml
William,Keating,MA,Qualified,9/6/1952,202-225-3111,https://forms.house.gov/keating/webforms/contact.shtml
Stephen,Lynch,MA,Qualified,3/31/1955,202-225-8273,https://lynch.house.gov/contact-me/email-me
Edward,Markey,MA,Qualified,7/11/1946,202-224-2742,http://www.markey.senate.gov/contact
James,McGovern,MA,Qualified,11/20/1959,202-225-6101,https://mcgovern.house.gov/contact/email-me
Richard,Neal,MA,Qualified,2/14/1949,202-225-5601,https://forms.house.gov/neal/webforms/Contact_Form.shtml
Niki,Tsongas,MA,Qualified,4/26/1946,202-225-3411,https://tsongas.house.gov/e-mail-niki/
Elizabeth,Warren,MA,Qualified,6/22/1949,202-224-4543,http://www.warren.senate.gov/?p=email_senator#thisForm
Joseph,Kennedy,MA,Qualified,10/4/1980,202-225-5931,https://kennedy.house.gov/contact/email-me
Katherine,Clark,MA,Qualified,7/17/1963,202-225-2836,https://katherineclark.house.gov/index.cfm/email-me
Seth,Moulton,MA,Qualified,10/24/1978,202-225-8020,
