lastname,firstname,birthday,type,state,party,website,phone,contact_form
Claire,McCaskill,MO,Democrat,7/24/1953,202-224-6154,http://www.mccaskill.senate.gov/?p=contact,http://www.mccaskill.senate.gov
Roy,Blunt,MO,Republican,1/10/1950,202-224-5721,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,http://www.blunt.senate.gov
Wm.,Clay,MO,Democrat,7/27/1956,202-225-2406,http://lacyclay.house.gov/contact-form/,http://lacyclay.house.gov
Emanuel,Cleaver,MO,Democrat,10/26/1944,202-225-4535,https://cleaver.house.gov/contact/email-me,http://cleaver.house.gov
Sam,Graves,MO,Republican,11/7/1963,202-225-7041,https://gravesforms.house.gov/email-sam,https://graves.house.gov
Vicky,Hartzler,MO,Republican,10/13/1960,202-225-2876,https://hartzler.house.gov/contact-me/email-me,http://hartzler.house.gov
Billy,Long,MO,Republican,8/11/1955,202-225-6536,https://longforms.house.gov/email-billy,http://long.house.gov
Blaine,Luetkemeyer,MO,Republican,5/7/1952,202-225-2956,https://luetkemeyer.house.gov/forms/writeyourrep/,http://luetkemeyer.house.gov
Ann,Wagner,MO,Republican,9/13/1962,202-225-1621,https://wagner.house.gov/contact/email-me,http://wagner.house.gov
Jason,Smith,MO,Republican,6/16/1980,202-225-4404,https://jasonsmith.house.gov/contact/email-me,http://jasonsmith.house.gov
