first name,last name,state,type,birthday,phone,email
Claire,McCaskill,MO,Qualified,7/24/1953,202-224-6154,http://www.mccaskill.senate.gov/?p=contact
Roy,Blunt,MO,Qualified,1/10/1950,202-224-5721,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy
Wm.,Clay,MO,Qualified,7/27/1956,202-225-2406,http://lacyclay.house.gov/contact-form/
Emanuel,Cleaver,MO,Qualified,10/26/1944,202-225-4535,https://cleaver.house.gov/contact/email-me
Sam,Graves,MO,Qualified,11/7/1963,202-225-7041,https://gravesforms.house.gov/email-sam
Vicky,Hartzler,MO,Qualified,10/13/1960,202-225-2876,https://hartzler.house.gov/contact-me/email-me
Billy,Long,MO,Qualified,8/11/1955,202-225-6536,https://longforms.house.gov/email-billy
Blaine,Luetkemeyer,MO,Qualified,5/7/1952,202-225-2956,https://luetkemeyer.house.gov/forms/writeyourrep/
Ann,Wagner,MO,Qualified,9/13/1962,202-225-1621,https://wagner.house.gov/contact/email-me
Jason,Smith,MO,Qualified,6/16/1980,202-225-4404,https://jasonsmith.house.gov/contact/email-me
