lastname,firstname,birthday,type,state,party,website,phone,contact_form
Robert,Menéndez,NJ,Democrat,1/1/1954,202-224-4744,http://www.menendez.senate.gov/contact,http://www.menendez.senate.gov
Rodney,Frelinghuysen,NJ,Republican,4/29/1946,202-225-5034,https://frelinghuysenforms.house.gov/contact-form,http://frelinghuysen.house.gov
Scott,Garrett,NJ,Republican,7/9/1959,202-225-4465,https://garrettforms.house.gov/forms/writeyourrep/?zip5=07452&zip4=3321,http://garrett.house.gov
Leonard,Lance,NJ,Republican,6/25/1952,202-225-5361,https://lance.house.gov/contact-me1,http://lance.house.gov
Frank,LoBiondo,NJ,Republican,5/12/1946,202-225-6572,https://lobiondo.house.gov/contact-me/email-me,http://lobiondo.house.gov
Frank,Pallone,NJ,Democrat,10/30/1951,202-225-4671,https://pallone.house.gov/contact-me/email-me,https://pallone.house.gov
Bill,Pascrell,NJ,Democrat,1/25/1937,202-225-5751,https://pascrell.house.gov/contact/email-me,http://pascrell.house.gov
Albio,Sires,NJ,Democrat,1/26/1951,202-225-7919,https://sires.house.gov/contact-me/email-me,http://sires.house.gov
Christopher,Smith,NJ,Republican,3/4/1953,202-225-3765,https://chrissmith.house.gov/contact/write.htm,http://chrissmith.house.gov
Donald,Payne,NJ,Democrat,12/17/1958,202-225-3436,http://payne.house.gov/contact/email-me,http://payne.house.gov
Cory,Booker,NJ,Democrat,4/27/1969,202-224-3224,http://www.booker.senate.gov/?p=contact,http://www.booker.senate.gov
Donald,Norcross,NJ,Democrat,12/13/1958,202-225-6501,http://norcross.house.gov/contact,http://norcross.house.gov
Tom,MacArthur,NJ,Republican,10/16/1960,202-225-4765,,https://macarthur.house.gov
Bonnie,Watson Coleman,NJ,Democrat,2/6/1945,202-225-5801,,https://watsoncoleman.house.gov
