first name,last name,state,type,birthday,phone,email
Robert,Menéndez,NJ,Qualified,1/1/1954,202-224-4744,http://www.menendez.senate.gov/contact
Rodney,Frelinghuysen,NJ,Qualified,4/29/1946,202-225-5034,https://frelinghuysenforms.house.gov/contact-form
Scott,Garrett,NJ,Qualified,7/9/1959,202-225-4465,https://garrettforms.house.gov/forms/writeyourrep/?zip5=07452&zip4=3321
Leonard,Lance,NJ,Qualified,6/25/1952,202-225-5361,https://lance.house.gov/contact-me1
Frank,LoBiondo,NJ,Qualified,5/12/1946,202-225-6572,https://lobiondo.house.gov/contact-me/email-me
Frank,Pallone,NJ,Qualified,10/30/1951,202-225-4671,https://pallone.house.gov/contact-me/email-me
Bill,Pascrell,NJ,Qualified,1/25/1937,202-225-5751,https://pascrell.house.gov/contact/email-me
Albio,Sires,NJ,Qualified,1/26/1951,202-225-7919,https://sires.house.gov/contact-me/email-me
Christopher,Smith,NJ,Qualified,3/4/1953,202-225-3765,https://chrissmith.house.gov/contact/write.htm
Donald,Payne,NJ,Qualified,12/17/1958,202-225-3436,http://payne.house.gov/contact/email-me
Cory,Booker,NJ,Qualified,4/27/1969,202-224-3224,http://www.booker.senate.gov/?p=contact
Donald,Norcross,NJ,Qualified,12/13/1958,202-225-6501,http://norcross.house.gov/contact
Tom,MacArthur,NJ,Qualified,10/16/1960,202-225-4765,
Bonnie,Watson Coleman,NJ,Qualified,2/6/1945,202-225-5801,
