lastname,firstname,birthday,type,state,party,website,phone,contact_form
Richard,Burr,NC,Republican,11/30/1955,202-224-3154,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,http://www.burr.senate.gov
George,Butterfield,NC,Democrat,4/27/1947,202-225-3101,https://butterfield.house.gov/email-congressman-butterfield,http://butterfield.house.gov
Renee,Ellmers,NC,Republican,2/9/1964,202-225-4531,https://ellmersforms.house.gov/contact-us1,http://ellmers.house.gov
Virginia,Foxx,NC,Republican,6/29/1943,202-225-2071,https://foxx.house.gov/forms/writeyourrep/?zip5=&zip4=,http://foxx.house.gov
Walter,Jones,NC,Republican,2/10/1943,202-225-3415,https://jones.house.gov/contact-me/email-me,http://jones.house.gov
Patrick,McHenry,NC,Republican,10/22/1975,202-225-2576,http://mchenry.house.gov/contact/zipauth.htm,http://mchenry.house.gov
David,Price,NC,Democrat,8/17/1940,202-225-1784,https://price.house.gov/contact,http://price.house.gov
Richard,Hudson,NC,Republican,11/4/1971,202-225-3715,https://hudson.house.gov/email-me,http://hudson.house.gov
Robert,Pittenger,NC,Republican,8/15/1948,202-225-1976,https://pittenger.house.gov/contact/email-me,http://pittenger.house.gov
Mark,Meadows,NC,Republican,7/28/1959,202-225-6401,https://meadows.house.gov/email-me,https://meadows.house.gov
George,Holding,NC,Republican,4/17/1968,202-225-3032,https://holding.house.gov/contact/email-me,http://holding.house.gov
Alma,Adams,NC,Democrat,5/27/1946,202-225-1510,http://adams.house.gov/contact,http://adams.house.gov
David,Rouzer,NC,Republican,2/16/1972,202-225-2731,,https://rouzer.house.gov
Thom,Tillis,NC,Republican,8/30/1960,202-224-6342,,http://www.tillis.senate.gov
Mark,Walker,NC,Republican,5/20/1969,202-225-3065,,https://walker.house.gov
