lastname,firstname,birthday,type,state,party,website,phone,contact_form
Robert,Casey,PA,Democrat,4/13/1960,202-224-6324,http://www.casey.senate.gov/contact/,https://www.casey.senate.gov
Lou,Barletta,PA,Republican,1/28/1956,202-225-6511,https://barletta.house.gov/contact/email-me,http://barletta.house.gov
Robert,Brady,PA,Democrat,4/7/1945,202-225-4731,https://brady.house.gov/contact-me/email-me,http://brady.house.gov
Charles,Dent,PA,Republican,5/24/1960,202-225-6411,https://dent.house.gov/?p=ContactForm,https://dent.house.gov
Michael,Doyle,PA,Democrat,8/5/1953,202-225-2135,https://doyle.house.gov/contact-me/email-me,http://doyle.house.gov
Chaka,Fattah,PA,Democrat,11/21/1956,202-225-4001,https://fattahforms.house.gov/contact-rep-fattah,http://fattah.house.gov
Michael,Fitzpatrick,PA,Republican,6/28/1963,202-225-4276,https://fitzpatrick.house.gov/contact-me/email-me,http://fitzpatrick.house.gov
Mike,Kelly,PA,Republican,5/10/1948,202-225-5406,https://kelly.house.gov/contact-me/email-me,http://kelly.house.gov
Tom,Marino,PA,Republican,8/15/1952,202-225-3731,https://marino.house.gov/contact-me/email-me,http://marino.house.gov
Patrick,Meehan,PA,Republican,10/20/1955,202-225-2011,https://meehan.house.gov/email-me,https://meehan.house.gov
Tim,Murphy,PA,Republican,9/11/1952,202-225-2301,https://murphy.house.gov/contact-me,http://murphy.house.gov
Joseph,Pitts,PA,Republican,10/10/1939,202-225-2411,https://pitts.house.gov/contact-me/legislative-contact-form,http://pitts.house.gov
Bill,Shuster,PA,Republican,1/10/1961,202-225-2431,http://shuster.house.gov/contact-form/,http://shuster.house.gov
Glenn,Thompson,PA,Republican,7/27/1959,202-225-5121,https://thompson.house.gov/contact-me/email-me,http://thompson.house.gov
Patrick,Toomey,PA,Republican,11/17/1961,202-224-4254,http://www.toomey.senate.gov/?p=contact,http://www.toomey.senate.gov
Scott,Perry,PA,Republican,5/27/1962,202-225-5836,http://perryforms.house.gov/forms/writeyourrep/,http://perry.house.gov
Keith,Rothfus,PA,Republican,4/25/1962,202-225-2065,https://rothfus.house.gov/email-keith,https://rothfus.house.gov
Matthew,Cartwright,PA,Democrat,5/1/1961,202-225-5546,https://cartwrightforms.house.gov/forms/writeyourrep/,http://cartwright.house.gov
Ryan,Costello,PA,Republican,9/7/1976,202-225-4315,,https://costello.house.gov
Brendan,Boyle,PA,Democrat,2/6/1977,202-225-6111,,https://boyle.house.gov
