lastname,firstname,birthday,type,state,party,website,phone,contact_form
Mark,Warner,VA,Democrat,12/15/1954,202-224-2023,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,http://www.warner.senate.gov
Gerald,Connolly,VA,Democrat,3/30/1950,202-225-1492,https://forms.house.gov/connolly/contact-form.shtml,http://connolly.house.gov
J.,Forbes,VA,Republican,2/17/1952,202-225-6365,https://forbes.house.gov/contact/contactform.htm,http://forbes.house.gov
Bob,Goodlatte,VA,Republican,9/22/1952,202-225-5431,http://goodlatte.house.gov/contacts/new,http://goodlatte.house.gov
H.,Griffith,VA,Republican,3/15/1958,202-225-3861,https://morgangriffith.house.gov/contact/contactform.htm,http://morgangriffith.house.gov
Robert,Hurt,VA,Republican,6/16/1969,202-225-4711,https://hurt.house.gov/index.cfm/email-me,https://hurt.house.gov
Edward,Rigell,VA,Republican,5/28/1960,202-225-4215,https://rigell.house.gov/contact/contactform.htm,http://rigell.house.gov
Robert,Scott,VA,Democrat,4/30/1947,202-225-8351,https://bobbyscott.house.gov/contact/email-me,http://bobbyscott.house.gov
Robert,Wittman,VA,Republican,2/3/1959,202-225-4261,https://wittman.house.gov/contact-form/,https://wittman.house.gov
Timothy,Kaine,VA,Democrat,2/26/1958,202-224-4024,http://www.kaine.senate.gov/contact,http://www.kaine.senate.gov
David,Brat,VA,Republican,7/27/1964,202-225-2815,http://brat.house.gov/contact,http://brat.house.gov
Donald,Beyer,VA,Democrat,6/20/1950,202-225-4376,,http://beyer.house.gov
Barbara,Comstock,VA,Republican,6/30/1959,202-225-5136,,https://comstock.house.gov
