first name,last name,state,type,birthday,phone,email
Mark,Warner,VA,Qualified,12/15/1954,202-224-2023,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a
Gerald,Connolly,VA,Qualified,3/30/1950,202-225-1492,https://forms.house.gov/connolly/contact-form.shtml
J.,Forbes,VA,Qualified,2/17/1952,202-225-6365,https://forbes.house.gov/contact/contactform.htm
Bob,Goodlatte,VA,Qualified,9/22/1952,202-225-5431,http://goodlatte.house.gov/contacts/new
H.,Griffith,VA,Qualified,3/15/1958,202-225-3861,https://morgangriffith.house.gov/contact/contactform.htm
Robert,Hurt,VA,Qualified,6/16/1969,202-225-4711,https://hurt.house.gov/index.cfm/email-me
Edward,Rigell,VA,Qualified,5/28/1960,202-225-4215,https://rigell.house.gov/contact/contactform.htm
Robert,Scott,VA,Qualified,4/30/1947,202-225-8351,https://bobbyscott.house.gov/contact/email-me
Robert,Wittman,VA,Qualified,2/3/1959,202-225-4261,https://wittman.house.gov/contact-form/
Timothy,Kaine,VA,Qualified,2/26/1958,202-224-4024,http://www.kaine.senate.gov/contact
David,Brat,VA,Qualified,7/27/1964,202-225-2815,http://brat.house.gov/contact
Donald,Beyer,VA,Qualified,6/20/1950,202-225-4376,
Barbara,Comstock,VA,Qualified,6/30/1959,202-225-5136,
