lastname,firstname,birthday,type,state,party,website,phone,contact_form
Maria,Cantwell,WA,Democrat,10/13/1958,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov
Jaime,Herrera Beutler,WA,Republican,11/3/1978,202-225-3536,http://herrerabeutler.house.gov/contact/,http://herrerabeutler.house.gov
Rick,Larsen,WA,Democrat,6/15/1965,202-225-2605,http://larsen.house.gov/contact-rick/email-rick,http://larsen.house.gov
Jim,McDermott,WA,Democrat,12/28/1936,202-225-3106,https://forms.house.gov/mcdermott/webforms/new/contact.shtml,http://mcdermott.house.gov
Cathy,McMorris Rodgers,WA,Republican,5/22/1969,202-225-2006,https://mcmorrisforms.house.gov/write-to-cathy1,http://mcmorris.house.gov
Patty,Murray,WA,Democrat,10/11/1950,202-224-2621,http://www.murray.senate.gov/public/index.cfm/contactme,http://www.murray.senate.gov
David,Reichert,WA,Republican,8/29/1950,202-225-7761,https://reichert.house.gov/contact-me,http://reichert.house.gov
Adam,Smith,WA,Democrat,6/15/1965,202-225-8901,https://adamsmith.house.gov/contact/contactform.htm,https://adamsmith.house.gov
Suzan,DelBene,WA,Democrat,2/17/1962,202-225-6311,http://delbene.house.gov/contact-me/email-me,http://delbene.house.gov
Derek,Kilmer,WA,Democrat,1/1/1974,202-225-5916,https://kilmer.house.gov/contact/email-me,http://kilmer.house.gov
Denny,Heck,WA,Democrat,7/29/1952,202-225-9740,https://dennyheck.house.gov/contact/email-me,http://dennyheck.house.gov
Dan,Newhouse,WA,Republican,7/10/1955,202-225-5816,,https://newhouse.house.gov
