Murkowski Lisa,Murkowski,Lisa,AK
Sullivan Dan,Sullivan,Dan,AK
Young Don,Young,Don,AK
Sewell Terri,Sewell,Terri,AL
Palmer Gary,Palmer,Gary,AL
Byrne Bradley,Byrne,Bradley,AL
Brooks Mo,Brooks,Mo,AL
Sessions Jefferson,Sessions,Jefferson,AL
Shelby Richard,Shelby,Richard,AL
Roby Martha,Roby,Martha,AL
Rogers Mike,Rogers,Mike,AL
Aderholt Robert,Aderholt,Robert,AL
Westerman Bruce,Westerman,Bruce,AR
Boozman John,Boozman,John,AR
Hill French,Hill,French,AR
Womack Steve,Womack,Steve,AR
Cotton Tom,Cotton,Tom,AR
Crawford Eric,Crawford,Eric,AR
Amata Aumua,Amata,Aumua,AS
Franks Trent,Franks,Trent,AZ
Salmon Matt,Salmon,Matt,AZ
Sinema Kyrsten,Sinema,Kyrsten,AZ
McSally Martha,McSally,Martha,AZ
Gallego Ruben,Gallego,Ruben,AZ
Flake Jeff,Flake,Jeff,AZ
McCain John,McCain,John,AZ
Gosar Paul,Gosar,Paul,AZ
Kirkpatrick Ann,Kirkpatrick,Ann,AZ
Grijalva Raúl,Grijalva Raúl,undefined,AZ
Schweikert David,Schweikert,David,AZ
Waters Maxine,Waters,Maxine,CA
Bera Ami,Bera,Ami,CA
Lowenthal Alan,Lowenthal,Alan,CA
Cook Paul,Cook,Paul,CA
Vargas Juan,Vargas,Juan,CA
Peters Scott,Peters,Scott,CA
Garamendi John,Garamendi,John,CA
Feinstein Dianne,Feinstein,Dianne,CA
Bass Karen,Bass,Karen,CA
Becerra Xavier,Becerra,Xavier,CA
Schiff Adam,Schiff,Adam,CA
Swalwell Eric,Swalwell,Eric,CA
Sanchez Loretta,Sanchez,Loretta,CA
Royce Edward,Royce,Edward,CA
Roybal-Allard Lucille,Roybal-Allard,Lucille,CA
Hahn Janice,Hahn,Janice,CA
Calvert Ken,Calvert,Ken,CA
Boxer Barbara,Boxer,Barbara,CA
Rohrabacher Dana,Rohrabacher,Dana,CA
Valadao David,Valadao,David,CA
Brownley Julia,Brownley,Julia,CA
Thompson Mike,Thompson,Mike,CA
Sánchez Linda,Sánchez,Linda,CA
Speier Jackie,Speier,Jackie,CA
Capps Lois,Capps,Lois,CA
Pelosi Nancy,Pelosi,Nancy,CA
DeSaulnier Mark,DeSaulnier,Mark,CA
Nunes Devin,Nunes,Devin,CA
Farr Sam,Farr,Sam,CA
Napolitano Grace,Napolitano,Grace,CA
Chu Judy,Chu,Judy,CA
Knight Steve,Knight,Steve,CA
Cárdenas Tony,Cárdenas,Tony,CA
McNerney Jerry,McNerney,Jerry,CA
McClintock Tom,McClintock,Tom,CA
Eshoo Anna,Eshoo,Anna,CA
McCarthy Kevin,McCarthy,Kevin,CA
LaMalfa Doug,LaMalfa,Doug,CA
Matsui Doris,Matsui,Doris,CA
Lofgren Zoe,Lofgren,Zoe,CA
Lee Barbara,Lee,Barbara,CA
Ruiz Raul,Ruiz,Raul,CA
Costa Jim,Costa,Jim,CA
Aguilar Pete,Aguilar,Pete,CA
Lieu Ted,Lieu,Ted,CA
Takano Mark,Takano,Mark,CA
Issa Darrell,Issa,Darrell,CA
Hunter Duncan,Hunter,Duncan,CA
Honda Michael,Honda,Michael,CA
Torres Norma,Torres,Norma,CA
Davis Susan,Davis,Susan,CA
Sherman Brad,Sherman,Brad,CA
Walters Mimi,Walters,Mimi,CA
Huffman Jared,Huffman,Jared,CA
Denham Jeff,Denham,Jeff,CA
Buck Ken,Buck,Ken,CO
Perlmutter Ed,Perlmutter,Ed,CO
DeGette Diana,DeGette,Diana,CO
Tipton Scott,Tipton,Scott,CO
Lamborn Doug,Lamborn,Doug,CO
Bennet Michael,Bennet,Michael,CO
Polis Jared,Polis,Jared,CO
Gardner Cory,Gardner,Cory,CO
Coffman Mike,Coffman,Mike,CO
Blumenthal Richard,Blumenthal,Richard,CT
Murphy Christopher,Murphy,Christopher,CT
Himes James,Himes,James,CT
Larson John,Larson,John,CT
Esty Elizabeth,Esty,Elizabeth,CT
DeLauro Rosa,DeLauro,Rosa,CT
Courtney Joe,Courtney,Joe,CT
Norton Eleanor,Norton,Eleanor,DC
Carper Thomas,Carper,Thomas,DE
Coons Chris,Coons,Chris,DE
Carney John,Carney,John,DE
Miller Jeff,Miller,Jeff,FL
Mica John,Mica,John,FL
Brown Corrine,Brown,Corrine,FL
Curbelo Carlos,Curbelo,Carlos,FL
Graham Gwen,Graham,Gwen,FL
Deutch Theodore,Deutch,Theodore,FL
Diaz-Balart Mario,Diaz-Balart,Mario,FL
Buchanan Vern,Buchanan,Vern,FL
Murphy Patrick,Murphy,Patrick,FL
Rubio Marco,Rubio,Marco,FL
Frankel Lois,Frankel,Lois,FL
Posey Bill,Posey,Bill,FL
Yoho Ted,Yoho,Ted,FL
Jolly David,Jolly,David,FL
Clawson Curtis,Clawson,Curtis,FL
Nelson Bill,Nelson,Bill,FL
Grayson Alan,Grayson,Alan,FL
Ross Dennis,Ross,Dennis,FL
Webster Daniel,Webster,Daniel,FL
Ros-Lehtinen Ileana,Ros-Lehtinen,Ileana,FL
Nugent Richard,Nugent,Richard,FL
Crenshaw Ander,Crenshaw,Ander,FL
Rooney Thomas,Rooney,Thomas,FL
Castor Kathy,Castor,Kathy,FL
Wilson Frederica,Wilson,Frederica,FL
Bilirakis Gus,Bilirakis,Gus,FL
Hastings Alcee,Hastings,Alcee,FL
Wasserman Schultz Debbie,Wasserman Schultz,Debbie,FL
DeSantis Ron,DeSantis,Ron,FL
Price Tom,Price,Tom,GA
Scott Austin,Scott,Austin,GA
Westmoreland Lynn,Westmoreland,Lynn,GA
Graves Tom,Graves,Tom,GA
Isakson John,Isakson,John,GA
Collins Doug,Collins,Doug,GA
Carter Buddy,Carter,Buddy,GA
Johnson Henry,Johnson,Henry,GA
Bishop Sanford,Bishop,Sanford,GA
Allen Rick,Allen,Rick,GA
Woodall Rob,Woodall,Rob,GA
Perdue David,Perdue,David,GA
Scott David,Scott,David,GA
Lewis John,Lewis,John,GA
Hice Jody,Hice,Jody,GA
Loudermilk Barry,Loudermilk,Barry,GA
Bordallo Madeleine,Bordallo,Madeleine,GU
Gabbard Tulsi,Gabbard,Tulsi,HI
Schatz Brian,Schatz,Brian,HI
Takai Mark,Takai,Mark,HI
Hirono Mazie,Hirono,Mazie,HI
Loebsack David,Loebsack,David,IA
Blum Rod,Blum,Rod,IA
Young David,Young,David,IA
Grassley Charles,Grassley,Charles,IA
Ernst Joni,Ernst,Joni,IA
King Steve,King,Steve,IA
Risch James,Risch,James,ID
Simpson Michael,Simpson,Michael,ID
Crapo Michael,Crapo,Michael,ID
Labrador Raúl,Labrador Raúl,undefined,ID
Shimkus John,Shimkus,John,IL
Gutiérrez Luis,Gutiérrez,Luis,IL
Roskam Peter,Roskam,Peter,IL
Quigley Mike,Quigley,Mike,IL
Schakowsky Janice,Schakowsky,Janice,IL
Hultgren Randy,Hultgren,Randy,IL
Duckworth Tammy,Duckworth,Tammy,IL
Kelly Robin,Kelly,Robin,IL
Davis Danny,Davis,Danny,IL
Lipinski Daniel,Lipinski,Daniel,IL
Davis Rodney,Davis,Rodney,IL
Bustos Cheri,Bustos,Cheri,IL
LaHood Darin,LaHood,Darin,IL
Durbin Richard,Durbin,Richard,IL
Dold Bob,Dold,Bob,IL
Rush Bobby,Rush,Bobby,IL
Foster Bill,Foster,Bill,IL
Kinzinger Adam,Kinzinger,Adam,IL
Kirk Mark,Kirk,Mark,IL
Bost Mike,Bost,Mike,IL
Rokita Todd,Rokita,Todd,IN
Brooks Susan,Brooks,Susan,IN
Bucshon Larry,Bucshon,Larry,IN
Donnelly Joe,Donnelly,Joe,IN
Visclosky Peter,Visclosky,Peter,IN
Messer Luke,Messer,Luke,IN
Stutzman Marlin,Stutzman,Marlin,IN
Walorski Jackie,Walorski,Jackie,IN
Carson André,Carson André,undefined,IN
Coats Daniel,Coats,Daniel,IN
Young Todd,Young,Todd,IN
Jenkins Lynn,Jenkins,Lynn,KS
Roberts Pat,Roberts,Pat,KS
Yoder Kevin,Yoder,Kevin,KS
Pompeo Mike,Pompeo,Mike,KS
Huelskamp Tim,Huelskamp,Tim,KS
Moran Jerry,Moran,Jerry,KS
Rogers Harold,Rogers,Harold,KY
Paul Rand,Paul,Rand,KY
Yarmuth John,Yarmuth,John,KY
Massie Thomas,Massie,Thomas,KY
Whitfield Ed,Whitfield,Ed,KY
Guthrie Brett,Guthrie,Brett,KY
Barr Garland,Barr,Garland,KY
McConnell Mitch,McConnell,Mitch,KY
Boustany Charles,Boustany,Charles,LA
Richmond Cedric,Richmond,Cedric,LA
Vitter David,Vitter,David,LA
Fleming John,Fleming,John,LA
Graves Garret,Graves,Garret,LA
Scalise Steve,Scalise,Steve,LA
Cassidy Bill,Cassidy,Bill,LA
Abraham Ralph,Abraham,Ralph,LA
Warren Elizabeth,Warren,Elizabeth,MA
Neal Richard,Neal,Richard,MA
Kennedy Joseph,Kennedy,Joseph,MA
Capuano Michael,Capuano,Michael,MA
Keating William,Keating,William,MA
Moulton Seth,Moulton,Seth,MA
Markey Edward,Markey,Edward,MA
Lynch Stephen,Lynch,Stephen,MA
Tsongas Niki,Tsongas,Niki,MA
Clark Katherine,Clark,Katherine,MA
McGovern James,McGovern,James,MA
Harris Andy,Harris,Andy,MD
Delaney John,Delaney,John,MD
Cardin Benjamin,Cardin,Benjamin,MD
Ruppersberger C.,Ruppersberger C.,undefined,MD
Hoyer Steny,Hoyer,Steny,MD
Edwards Donna,Edwards,Donna,MD
Cummings Elijah,Cummings,Elijah,MD
Mikulski Barbara,Mikulski,Barbara,MD
Sarbanes John,Sarbanes,John,MD
Van Hollen Chris,Van Hollen,Chris,MD
Poliquin Bruce,Poliquin,Bruce,ME
Pingree Chellie,Pingree,Chellie,ME
Collins Susan,Collins,Susan,ME
King Angus,King,Angus,ME
Miller Candice,Miller,Candice,MI
Trott Dave,Trott,Dave,MI
Kildee Daniel,Kildee,Daniel,MI
Stabenow Debbie,Stabenow,Debbie,MI
Moolenaar John,Moolenaar,John,MI
Lawrence Brenda,Lawrence,Brenda,MI
Peters Gary,Peters,Gary,MI
Dingell Debbie,Dingell,Debbie,MI
Huizenga Bill,Huizenga,Bill,MI
Benishek Dan,Benishek,Dan,MI
Levin Sander,Levin,Sander,MI
Conyers John,Conyers,John,MI
Bishop Mike,Bishop,Mike,MI
Walberg Tim,Walberg,Tim,MI
Amash Justin,Amash,Justin,MI
Upton Fred,Upton,Fred,MI
Klobuchar Amy,Klobuchar,Amy,MN
McCollum Betty,McCollum,Betty,MN
Emmer Tom,Emmer,Tom,MN
Franken Alan,Franken,Alan,MN
Paulsen Erik,Paulsen,Erik,MN
Nolan Richard,Nolan,Richard,MN
Ellison Keith,Ellison,Keith,MN
Walz Timothy,Walz,Timothy,MN
Kline John,Kline,John,MN
Peterson Collin,Peterson,Collin,MN
Wagner Ann,Wagner,Ann,MO
Long Billy,Long,Billy,MO
Graves Sam,Graves,Sam,MO
Blunt Roy,Blunt,Roy,MO
Clay Wm.,Clay Wm.,undefined,MO
Cleaver Emanuel,Cleaver,Emanuel,MO
McCaskill Claire,McCaskill,Claire,MO
Hartzler Vicky,Hartzler,Vicky,MO
Luetkemeyer Blaine,Luetkemeyer,Blaine,MO
Smith Jason,Smith,Jason,MO
Sablan Gregorio,Sablan,Gregorio,MP
Harper Gregg,Harper,Gregg,MS
Wicker Roger,Wicker,Roger,MS
Thompson Bennie,Thompson,Bennie,MS
Palazzo Steven,Palazzo,Steven,MS
