First Name,Last Name,State,Birthday,Phone,Email,Lead Status,Sales Contact,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Sherrod,Brown,OH,11/9/1952,202-224-2315,http://www.brown.senate.gov/contact,Qualified,John Kasich,,,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,B000944,136,N00003535,S307,5051,400050,27018,Sherrod Brown,gIQA3O2w9O,29389,Sherrod Brown
Maria,Cantwell,WA,10/13/1958,202-224-3441,http://www.cantwell.senate.gov/public/index.cfm/email-maria,Qualified,Jay Inslee,,,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,C000127,172,N00007836,S275,26137,300018,27122,Maria Cantwell,gIQAZxKkDP,39310,Maria Cantwell
Benjamin,Cardin,MD,10/5/1943,202-224-4524,http://www.cardin.senate.gov/contact/,Likely,Martin O'Malley,senatorbencardin,1.20E+14,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,C000141,174,N00001955,S308,4004,400064,26888,Ben Cardin,gIQAGMu99O,15408,Ben Cardin
Thomas,Carper,DE,1/23/1947,202-224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,Qualified,Jack A. Markell,tomcarper,1.25E+14,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,C000174,179,N00012508,S277,663,300019,22421,Tom Carper,gIQA3bm69O,15015,Tom Carper
Robert,Casey,PA,4/13/1960,202-224-6324,http://www.casey.senate.gov/contact/,Unlikely,"Thomas Westerman ""Tom"" Wolf",SenatorBobCasey,1.08E+14,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,C001070,1828,N00027503,S309,47036,412246,2541,"Bob Casey, Jr.",gIQABeor9O,40703,"Bob Casey, Jr."
Bob,Corker,TN,8/24/1952,202-224-3344,http://www.corker.senate.gov/public/index.cfm/emailme,Unlikely,William Haslam,bobcorker,1.09E+14,senatorcorker,UCm7if_szz7DxfcdYGrywHSA,C001071,1825,N00027441,S310,1021114,412248,65905,Bob Corker,gIQADOuy9O,40705,Bob Corker
Dianne,Feinstein,CA,6/22/1933,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,Qualified,"Edmund G. ""Jerry"" Brown, Jr.",senatorfeinstein,3.35E+14,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,F000062,1332,N00007364,S221,13061,300043,53273,Dianne Feinstein,gIQAnrCyDP,49300,Dianne Feinstein
Orrin,Hatch,UT,3/22/1934,202-224-5251,http://www.hatch.senate.gov/public/index.cfm/contact?p=Email-Orrin,Qualified,Gary Herbert,senatororrinhatch,,SenatorOrrinHatch,UCQUPyPV_SR435OsPiFNIWPQ,H000338,1351,N00009869,S118,189,300052,53352,Orrin Hatch,gIQAzJiz9O,14503,Orrin Hatch
Amy,Klobuchar,MN,5/25/1960,202-224-3244,http://www.klobuchar.senate.gov/public/email-amy,Likely,Mark Dayton,,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,K000367,1826,N00027500,S311,83701,412242,65092,Amy Klobuchar,gIQA5G259O,40700,Amy Klobuchar
Claire,McCaskill,MO,7/24/1953,202-224-6154,http://www.mccaskill.senate.gov/?p=contact,Qualified,"Jeremiah Wilson ""Jay"" Nixon",senatormccaskill,1.31E+11,SenatorMcCaskill,UCnarZ9jmNhI-eDcEPBwqMFw,M001170,1820,N00027694,S312,1012014,412243,2109,Claire McCaskill,gIQAiqnb9O,40701,Claire McCaskill
Robert,Menéndez,NJ,1/1/1954,202-224-4744,http://www.menendez.senate.gov/contact,Unlikely,SenatorMenendez,senatormenendez,3.50E+11,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791,N00000699,S306,29608,400272,26961,Bob Menendez,gIQAYgYw6O,29373,Bob Menendez
Bill,Nelson,FL,9/29/1942,202-224-5274,http://www.billnelson.senate.gov/contact-bill,Unlikely,SenBillNelson,,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,859,N00009926,S282,1931,300078,1606,Bill Nelson (Florida),gIQAlLuy9O,14651,Bill Nelson
Bernard,Sanders,VT,9/8/1941,202-224-5141,http://www.sanders.senate.gov/contact/comment,Qualified,SenSanders,senatorsanders,9124187907,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010,N00000528,S313,994,400357,27110,Bernie Sanders,gIQABiDjMP,29147,Bernie Sanders
Debbie,Stabenow,MI,4/29/1950,202-224-4822,http://www.stabenow.senate.gov/?p=contact,Qualified,SenStabenow,,,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531,N00004118,S284,45451,300093,515,Debbie Stabenow,gIQA5t8DAP,29732,Debbie Stabenow
Jon,Tester,MT,8/21/1956,202-224-2644,http://www.tester.senate.gov/?p=email_senator,Likely,SenatorTester,senatortester,2.11E+11,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829,N00027605,S314,1020176,412244,20928,Jon Tester,gIQAw67AAP,40702,Jon Tester
Sheldon,Whitehouse,RI,10/20/1955,202-224-2921,http://www.whitehouse.senate.gov/contact,Qualified,SenWhitehouse,SenatorWhitehouse,1.94E+14,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,gIQA7KHw9O,40704,Sheldon Whitehouse
John,Barrasso,WY,7/21/1952,202-224-6441,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,Unlikely,SenJohnBarrasso,johnbarrasso,21146775942,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881,N00006236,S317,1024777,412251,52662,John Barrasso,gIQASOzBAP,40707,John Barrasso
