Alabama,Robert Julian Bentley,Republican
Alaska,"William M. ""Bill"" Walker",Independent
Arizona,"Douglas A. ""Doug"" Ducey",Republican
Arkansas,William Asa Hutchinson,Republican
California,"Edmund G. ""Jerry"" Brown, Jr.",Democrat
Colorado,John Hickenlooper,Democrat
Connecticut,"Dannel Patrick ""Dan"" Malloy",Democrat
Delaware,Jack A. Markell,Democrat
Florida,"Richard Lynn ""Rick"" Scott",Republican
Georgia,John Nathan Deal,Republican
Hawaii,David Yutaka Ige,Democrat
Idaho,"Clement Leroy ""Butch"" Otter",Republican
Illinois,Bruce Vincent Rauner,Republican
Indiana,"Michael Richard ""Mike"" Pence",Republican
Iowa,Terry Edward Branstad,Republican
Kansas,"Samuel Dale ""Sam"" Brownback",Republican
Kentucky,Steven L. Beshear,Democrat
Louisiana,"Piyush ""Bobby"" Jindal",Republican
Maine,Paul R. LePage,Republican
Maryland,Martin Joseph O'Malley,Democrat
Massachusetts,"Charles Duane ""Charlie"" Baker, Jr.",Republican
Michigan,"Richard D. ""Rick"" Snyder",Republican
Minnesota,Mark Brandt Dayton,Democrat
Mississippi,"Dewey Phillip ""Phil"" Bryant",Republican
Missouri,"Jeremiah Wilson ""Jay"" Nixon",Democrat
Montana,"Stephen Clark ""Steve"" Bullock",Democrat
Nebraska,"John Peter ""Pete"" Ricketts",Republican
Nevada,Brian Edward Sandoval,Republican
New Hampshire,Maggie Hassan,Democrat
New Jersey,"Christopher James ""Chris"" Christie",Republican
New Mexico,Susana Martinez,Republican
New York,Andrew Mark Cuomo,Democrat
North Carolina,"Patrick Lloyd ""Pat"" McCrory",Republican
North Dakota,"John ""Jack"" Dalrymple",Republican
Ohio,John Richard Kasich,Republican
Oklahoma,Mary Fallin,Republican
Oregon,John Albert Kitzhaber,Democrat
Pennsylvania,"Thomas Westerman ""Tom"" Wolf",Democrat
Rhode Island,Gina Marie Raimondo,Democrat
South Carolina,Nimrata Nikki Randhawa Haley,Republican
South Dakota,Dennis M. Daugaard,Republican
Tennessee,"William Edward ""Bill"" Haslam",Republican
Texas,"Gregory Wayne ""Greg"" Abbott",Republican
Utah,Gary Richard Herbert,Republican
Vermont,Peter Shumlin,Democrat
Virginia,"Terence Richard ""Terry"" McAuliffe",Democrat
Washington,Jay Robert Inslee,Democrat
West Virginia,Earl Ray Tomblin,Democrat
Wisconsin,Scott Kevin Walker,Republican
Wyoming,"Matthew Hansen ""Matt"" Mead",Republican
