John Cornyn,John,Cornyn,Texas
Joe Barton,Joe,Barton,Texas
Kevin Brady,Kevin,Brady,Texas
Michael Burgess,Michael,Burgess,Texas
John Carter,John,Carter,Texas
K. Conaway,K.,Conaway,Texas
John Culberson,John,Culberson,Texas
Lloyd Doggett,Lloyd,Doggett,Texas
Blake Farenthold,Blake,Farenthold,Texas
Bill Flores,Bill,Flores,Texas
Charles Boustany,Charles,Boustany,Louisiana
Bill Cassidy,Bill,Cassidy,Louisiana
John Fleming,John,Fleming,Louisiana
Cedric Richmond,Cedric,Richmond,Louisiana
Steve Scalise,Steve,Scalise,Louisiana
David Vitter,David,Vitter,Louisiana
Ralph Abraham,Ralph,Abraham,Louisiana
Tom Udall,Tom,Udall,New Mexico
Martin Heinrich,Martin,Heinrich,New Mexico
Ben Ray Lujan,Ben Ray,Lujan,New Mexico
Stevan Pearce,Stevan,Pearce,New Mexico
Michelle Lujan Grisham,Michelle Lujan,Grisham,New Mexico
,,undefined,
,,undefined,
,,undefined,undefined
