first name,last name,state,type,birthday,phone,email
Kirsten,Gillibrand,NY,Qualified,12/9/1966,202-224-4451,http://www.gillibrand.senate.gov/contact/
Yvette,Clarke,NY,Qualified,11/21/1964,202-225-6231,https://clarke.house.gov/contact/email-me
Joseph,Crowley,NY,Qualified,3/16/1962,202-225-3965,https://crowley.house.gov/contact-me/email-me
Eliot,Engel,NY,Qualified,2/18/1947,202-225-2464,https://engel.house.gov/write-your-rep1
Christopher,Gibson,NY,Qualified,5/13/1964,202-225-5614,http://gibson.house.gov/contact/
Richard,Hanna,NY,Qualified,1/25/1951,202-225-3665,https://hanna.house.gov/email-me
Brian,Higgins,NY,Qualified,10/6/1959,202-225-3306,http://higgins.house.gov/contact/email-brian
Steve,Israel,NY,Qualified,5/30/1958,202-225-3335,https://israel.house.gov/contact/email-me
Peter,King,NY,Qualified,4/5/1944,202-225-7896,https://peteking.house.gov/contact/email-me
Nita,Lowey,NY,Qualified,7/5/1937,202-225-6506,https://lowey.house.gov/contact-form/
Carolyn,Maloney,NY,Qualified,2/19/1946,202-225-7944,https://maloney.house.gov/contact-me/email-me
Gregory,Meeks,NY,Qualified,9/25/1953,202-225-3461,https://meeks.house.gov/contact-me/email-me
Jerrold,Nadler,NY,Qualified,6/13/1947,202-225-5635,https://jerroldnadler.house.gov/forms/writeyourrep/default.aspx
Charles,Rangel,NY,Qualified,6/11/1930,202-225-4365,https://rangel.house.gov/contact-me/email-me
Tom,Reed,NY,Qualified,11/18/1971,202-225-3161,https://reed.house.gov/contact-me/email-me
Charles,Schumer,NY,Qualified,11/23/1950,202-224-6542,http://www.schumer.senate.gov/Contact/email-chuck
José,Serrano,NY,Qualified,10/24/1943,202-225-4361,https://serrano.house.gov/contact-me/email-me
Louise,Slaughter,NY,Qualified,8/14/1929,202-225-3615,https://louise.house.gov/contact-louise
Paul,Tonko,NY,Qualified,6/18/1949,202-225-5076,https://tonko.house.gov/email-form1
Nydia,Velázquez,NY,Qualified,3/28/1953,202-225-2361,http://velazquez.house.gov/IMA/issue_subscribe.shtml
Grace,Meng,NY,Qualified,10/1/1975,202-225-2601,https://meng.house.gov/contact/email-me
Hakeem,Jeffries,NY,Qualified,8/4/1970,202-225-5936,https://jeffriesforms.house.gov/contact/
Sean,Maloney,NY,Qualified,7/30/1966,202-225-5441,https://seanmaloney.house.gov/contact/email-me
Chris,Collins,NY,Qualified,5/20/1950,202-225-5265,https://chriscollins.house.gov/contact/email-me
Lee,Zeldin,NY,Qualified,1/30/1980,202-225-3826,
Kathleen,Rice,NY,Qualified,2/15/1965,202-225-5516,
Elise,Stefanik,NY,Qualified,7/2/1984,202-225-4611,
John,Katko,NY,Qualified,11/9/1962,202-225-3701,
Daniel,Donovan,NY,Qualified,11/6/1956,202-225-3371,
