first name,last name,state,type,birthday,phone,email
Sherrod,Brown,OH,Qualified,11/9/1952,202-224-2315,http://www.brown.senate.gov/contact
Steve,Chabot,OH,Qualified,1/22/1953,202-225-2216,https://chabot.house.gov/forms/writeyourrep/?zip5=45202&zip4=3003
Marcia,Fudge,OH,Qualified,10/29/1952,202-225-7032,https://fudgeforms.house.gov/contact-form
Bob,Gibbs,OH,Qualified,6/14/1954,202-225-6265,https://gibbs.house.gov/contact-me/email-me
Bill,Johnson,OH,Qualified,11/10/1954,202-225-5705,http://billjohnson.house.gov/contact/default.aspx
Jim,Jordan,OH,Qualified,2/17/1964,202-225-2676,http://jordan.house.gov/contact/
Marcy,Kaptur,OH,Qualified,6/17/1946,202-225-4146,https://forms.house.gov/kaptur/webforms/issue_subscribe.shtml
Robert,Latta,OH,Qualified,4/18/1956,202-225-6405,https://latta.house.gov/contact/contactform.htm
Robert,Portman,OH,Qualified,12/19/1955,202-224-3353,https://www.portman.senate.gov/public/index.cfm/contact-form
James,Renacci,OH,Qualified,12/3/1958,202-225-3876,https://renacci.house.gov/index.cfm/contact-form
Tim,Ryan,OH,Qualified,7/16/1973,202-225-5261,http://timryanforms.house.gov/contact/
Steve,Stivers,OH,Qualified,3/24/1965,202-225-2015,https://stivers.house.gov/forms/writeyourrep/
Patrick,Tiberi,OH,Qualified,10/21/1962,202-225-5355,https://tiberi.house.gov/contact/contactform.htm
Michael,Turner,OH,Qualified,1/11/1960,202-225-6465,http://turner.house.gov/contact/
Brad,Wenstrup,OH,Qualified,6/17/1958,202-225-3164,http://wenstrup.house.gov/contact/
Joyce,Beatty,OH,Qualified,3/12/1950,202-225-4324,https://beattyforms.house.gov/forms/writeyourrep/
David,Joyce,OH,Qualified,3/17/1957,202-225-5731,https://joyce.house.gov/email-me
Warren,Davidson,OH,Qualified,3/1/1970,,
