first name,last name,state,type,birthday,phone,email
Robert,Casey,PA,Qualified,4/13/1960,202-224-6324,http://www.casey.senate.gov/contact/
Lou,Barletta,PA,Qualified,1/28/1956,202-225-6511,https://barletta.house.gov/contact/email-me
Robert,Brady,PA,Qualified,4/7/1945,202-225-4731,https://brady.house.gov/contact-me/email-me
Charles,Dent,PA,Qualified,5/24/1960,202-225-6411,https://dent.house.gov/?p=ContactForm
Michael,Doyle,PA,Qualified,8/5/1953,202-225-2135,https://doyle.house.gov/contact-me/email-me
Chaka,Fattah,PA,Qualified,11/21/1956,202-225-4001,https://fattahforms.house.gov/contact-rep-fattah
Michael,Fitzpatrick,PA,Qualified,6/28/1963,202-225-4276,https://fitzpatrick.house.gov/contact-me/email-me
Mike,Kelly,PA,Qualified,5/10/1948,202-225-5406,https://kelly.house.gov/contact-me/email-me
Tom,Marino,PA,Qualified,8/15/1952,202-225-3731,https://marino.house.gov/contact-me/email-me
Patrick,Meehan,PA,Qualified,10/20/1955,202-225-2011,https://meehan.house.gov/email-me
Tim,Murphy,PA,Qualified,9/11/1952,202-225-2301,https://murphy.house.gov/contact-me
Joseph,Pitts,PA,Qualified,10/10/1939,202-225-2411,https://pitts.house.gov/contact-me/legislative-contact-form
Bill,Shuster,PA,Qualified,1/10/1961,202-225-2431,http://shuster.house.gov/contact-form/
Glenn,Thompson,PA,Qualified,7/27/1959,202-225-5121,https://thompson.house.gov/contact-me/email-me
Patrick,Toomey,PA,Qualified,11/17/1961,202-224-4254,http://www.toomey.senate.gov/?p=contact
Scott,Perry,PA,Qualified,5/27/1962,202-225-5836,http://perryforms.house.gov/forms/writeyourrep/
Keith,Rothfus,PA,Qualified,4/25/1962,202-225-2065,https://rothfus.house.gov/email-keith
Matthew,Cartwright,PA,Qualified,5/1/1961,202-225-5546,https://cartwrightforms.house.gov/forms/writeyourrep/
Ryan,Costello,PA,Qualified,9/7/1976,202-225-4315,
Brendan,Boyle,PA,Qualified,2/6/1977,202-225-6111,
