Jefferson,Sessions,AL,Qualified,12/24/1946,202-224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff
Robert,Aderholt,AL,Qualified,7/22/1965,202-225-4876,http://aderholt.house.gov/email-me2/
Mo,Brooks,AL,Qualified,4/29/1954,202-225-4801,https://brooks.house.gov/email-me
Martha,Roby,AL,Qualified,7/27/1976,202-225-2901,https://roby.house.gov/contact-me
Mike,Rogers,AL,Qualified,7/16/1958,202-225-3261,http://mikerogers.house.gov/contact-mike/email-me
Terri,Sewell,AL,Qualified,1/1/1965,202-225-2665,https://sewell.house.gov/email-me
Richard,Shelby,AL,Qualified,5/6/1934,202-224-5744,http://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby
Bradley,Byrne,AL,Qualified,2/16/1955,202-225-4931,https://byrne.house.gov/contact/email-me
Gary,Palmer,AL,Qualified,5/14/1954,202-225-4921,
Lisa,Murkowski,AK,Qualified,5/22/1957,202-224-6665,http://www.murkowski.senate.gov/public/index.cfm?p=EMailLisa
Don,Young,AK,Qualified,6/9/1933,202-225-5765,https://donyoung.house.gov/forms/writeyourrep/
Dan,Sullivan,AK,Qualified,11/13/1964,202-224-3004,
Jeff,Flake,AZ,Qualified,12/31/1962,202-224-4521,http://www.flake.senate.gov/contact.cfm
Trent,Franks,AZ,Qualified,6/19/1957,202-225-4576,https://franks.house.gov/contact-me/email-me
Paul,Gosar,AZ,Qualified,11/22/1958,202-225-2315,https://gosar.house.gov/contact-me/email-me
Raúl,Grijalva,AZ,Qualified,2/19/1948,202-225-2435,https://grijalvaforms.house.gov/email-raul
John,McCain,AZ,Qualified,8/29/1936,202-224-2235,http://www.mccain.senate.gov/public/index.cfm/contact-form
David,Schweikert,AZ,Qualified,3/3/1962,202-225-2190,https://schweikert.house.gov/contact-form
Matt,Salmon,AZ,Qualified,1/21/1958,202-225-2635,https://salmon.house.gov/contact/email-me
Ann,Kirkpatrick,AZ,Qualified,3/24/1950,202-225-3361,https://kirkpatrick.house.gov/contact/email-me
Kyrsten,Sinema,AZ,Qualified,7/12/1976,202-225-9888,https://sinemaforms.house.gov/forms/writeyourrep/
Martha,McSally,AZ,Qualified,3/22/1966,202-225-2542,
Ruben,Gallego,AZ,Qualified,11/20/1979,202-225-4065,
John,Boozman,AR,Qualified,12/10/1950,202-224-4843,http://www.boozman.senate.gov/public/index.cfm/e-mail-me
Eric,Crawford,AR,Qualified,1/22/1966,202-225-4076,http://crawford.house.gov/contact/
Steve,Womack,AR,Qualified,2/18/1957,202-225-4301,https://womack.house.gov/contact/contactform.htm
Tom,Cotton,AR,Qualified,5/13/1977,202-224-2353,
French,Hill,AR,Qualified,12/5/1956,202-225-2506,
Bruce,Westerman,AR,Qualified,11/18/1967,202-225-3772,
Dianne,Feinstein,CA,Qualified,6/22/1933,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me
Karen,Bass,CA,Qualified,10/3/1953,202-225-7084,https://bass.house.gov/contact-me/email-me
Xavier,Becerra,CA,Qualified,1/26/1958,202-225-6235,http://becerraforms.house.gov/forms/writeyourrep/
Barbara,Boxer,CA,Qualified,11/11/1940,202-224-3553,https://www.boxer.senate.gov/contact/shareyourviews.html
Ken,Calvert,CA,Qualified,6/8/1953,202-225-1986,https://calvert.house.gov/contactform/
Lois,Capps,CA,Qualified,1/10/1938,202-225-3601,https://capps.house.gov/contact-me/email-me
