first name ,last name ,state ,type ,birthday ,phone ,email 
Bill,Nelson,FL,Qualified,9/29/1942,202-224-5274,http://www.billnelson.senate.gov/contact-bill
Gus,Bilirakis,FL,Qualified,2/8/1963,202-225-5755,https://bilirakis.house.gov/email-congressman-bilirakis/
Corrine,Brown,FL,Qualified,11/11/1946,202-225-0123,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml
Vern,Buchanan,FL,Qualified,5/8/1951,202-225-5015,https://buchanan.house.gov/email-me
Kathy,Castor,FL,Qualified,8/20/1966,202-225-3376,https://castor.house.gov/contact/contactform.htm
Ander,Crenshaw,FL,Qualified,9/1/1944,202-225-2501,https://forms.house.gov/write/crenshaw/email-me.shtml
Theodore,Deutch,FL,Qualified,5/7/1966,202-225-3001,https://teddeutch.house.gov/forms/writeyourrep/default.aspx
Mario,Diaz-Balart,FL,Qualified,9/25/1961,202-225-4211,http://mariodiazbalart.house.gov/contact-mario/write-rep-diaz-balart
Alcee,Hastings,FL,Qualified,9/5/1936,202-225-1313,https://alceehastings.house.gov/forms/writeyourrep/?zip5=33407&zip4=3224
John,Mica,FL,Qualified,1/27/1943,202-225-4035,https://mica.house.gov/contact-form
Jeff,Miller,FL,Qualified,6/27/1959,202-225-4136,https://jeffmiller.house.gov/contact/contactform.htm
Richard,Nugent,FL,Qualified,5/26/1951,202-225-1002,https://nugent.house.gov/contact/email-me
Bill,Posey,FL,Qualified,12/18/1947,202-225-3671,https://posey.house.gov/forms/writeyourrep/
Thomas,Rooney,FL,Qualified,11/21/1970,202-225-5792,https://rooney.house.gov/email-me
Ileana,Ros-Lehtinen,FL,Qualified,7/15/1952,202-225-3931,https://ros-lehtinen.house.gov/contact-me/email-me
Dennis,Ross,FL,Qualified,10/18/1959,202-225-1252,https://dennisross.house.gov/forms/writeyourrep/
Marco,Rubio,FL,Qualified,5/28/1971,202-224-3041,http://www.rubio.senate.gov/public/index.cfm/contact
Debbie,Wasserman Schultz,FL,Qualified,9/27/1966,202-225-7931,http://wassermanschultz.house.gov/contact/email-me.shtml
Daniel,Webster,FL,Qualified,4/27/1949,202-225-2176,https://webster.house.gov/contact/contactform.htm
Frederica,Wilson,FL,Qualified,11/5/1942,202-225-4506,https://wilsonforms.house.gov/contact-form
Alan,Grayson,FL,Qualified,3/13/1958,202-225-9889,https://grayson.house.gov/contact/email-me
Ted,Yoho,FL,Qualified,4/13/1955,202-225-5744,https://yoho.house.gov/contact/email-me
Ron,DeSantis,FL,Qualified,9/14/1978,202-225-2706,https://desantis.house.gov/contact/email-me
Patrick,Murphy,FL,Qualified,3/30/1983,202-225-3026,http://patrickmurphy.house.gov/contact/
Lois,Frankel,FL,Qualified,5/16/1948,202-225-9890,https://frankel.house.gov/contact/email-me
David,Jolly,FL,Qualified,10/31/1972,202-225-5961,https://jolly.house.gov/contact/email-me
Curtis,Clawson,FL,Qualified,9/28/1959,202-225-2536,
Gwen,Graham,FL,Qualified,1/31/1963,202-225-5235,
Carlos,Curbelo,FL,Qualified,3/1/1980,202-225-2778,
