"AK
Murkowski Lisa
Sullivan Dan
Young Don","AL
Sewell Terri
Palmer Gary
Byrne Bradley
Brooks Mo
Sessions Jefferson
Shelby Richard
Roby Martha
Rogers Mike
Aderholt Robert","AR
Westerman Bruce
Boozman John
Hill French
Womack Steve
Cotton Tom
Crawford Eric"
"AS
Amata Aumua","AZ
Franks Trent
Salmon Matt
Sinema Kyrsten
McSally Martha
Gallego Ruben
Flake Jeff
McCain John
Gosar Paul
Kirkpatrick Ann
Grijalva Raúl
Schweikert David","CA
Waters Maxine
Bera Ami
Lowenthal Alan
Cook Paul
Vargas Juan
Peters Scott
Garamendi John
Feinstein Dianne
Bass Karen
Becerra Xavier
Schiff Adam
Swalwell Eric
Sanchez Loretta
Royce Edward
Roybal-Allard Lucille
Hahn Janice
Calvert Ken
Boxer Barbara
Rohrabacher Dana
Valadao David
Brownley Julia
Thompson Mike
Sánchez Linda
Speier Jackie
Capps Lois
Pelosi Nancy
DeSaulnier Mark
Nunes Devin
Farr Sam
Napolitano Grace
Chu Judy
Knight Steve
Cárdenas Tony
McNerney Jerry
McClintock Tom
Eshoo Anna
McCarthy Kevin
LaMalfa Doug
Matsui Doris
Lofgren Zoe
Lee Barbara
Ruiz Raul
Costa Jim
Aguilar Pete
Lieu Ted
Takano Mark
Issa Darrell
Hunter Duncan
Honda Michael
Torres Norma
Davis Susan
Sherman Brad
Walters Mimi
Huffman Jared
Denham Jeff"
"CO
Buck Ken
Perlmutter Ed
DeGette Diana
Tipton Scott
Lamborn Doug
Bennet Michael
Polis Jared
Gardner Cory
Coffman Mike","CT
Blumenthal Richard
Murphy Christopher
Himes James
Larson John
Esty Elizabeth
DeLauro Rosa
Courtney Joe","DC
Norton Eleanor"
"DE
Carper Thomas
Coons Chris
Carney John","FL
Miller Jeff
Mica John
Brown Corrine
Curbelo Carlos
Graham Gwen
Deutch Theodore
Diaz-Balart Mario
Buchanan Vern
Murphy Patrick
Rubio Marco
Frankel Lois
Posey Bill
Yoho Ted
Jolly David
Clawson Curtis
Nelson Bill
Grayson Alan
Ross Dennis
Webster Daniel
Ros-Lehtinen Ileana
Nugent Richard
Crenshaw Ander
Rooney Thomas
Castor Kathy
Wilson Frederica
Bilirakis Gus
Hastings Alcee
Wasserman Schultz Debbie
DeSantis Ron","GA
Price Tom
Scott Austin
Westmoreland Lynn
Graves Tom
Isakson John
Collins Doug
Carter Buddy
Johnson Henry
Bishop Sanford
Allen Rick
Woodall Rob
Perdue David
Scott David
Lewis John
Hice Jody
Loudermilk Barry"
"GU
Bordallo Madeleine","HI
Gabbard Tulsi
Schatz Brian
Takai Mark
Hirono Mazie","IA
Loebsack David
Blum Rod
Young David
Grassley Charles
Ernst Joni
King Steve"
"ID
Risch James
Simpson Michael
Crapo Michael
Labrador Raúl","IL
Shimkus John
Gutiérrez Luis
Roskam Peter
Quigley Mike
Schakowsky Janice
Hultgren Randy
Duckworth Tammy
Kelly Robin
Davis Danny
Lipinski Daniel
Davis Rodney
Bustos Cheri
LaHood Darin
Durbin Richard
Dold Bob
Rush Bobby
Foster Bill
Kinzinger Adam
Kirk Mark
Bost Mike","IN
Rokita Todd
Brooks Susan
Bucshon Larry
Donnelly Joe
Visclosky Peter
Messer Luke
Stutzman Marlin
Walorski Jackie
Carson André
Coats Daniel
Young Todd"
"KS
Jenkins Lynn
Roberts Pat
Yoder Kevin
Pompeo Mike
Huelskamp Tim
Moran Jerry","KY
Rogers Harold
Paul Rand
Yarmuth John
Massie Thomas
Whitfield Ed
Guthrie Brett
Barr Garland
McConnell Mitch","LA
Boustany Charles
Richmond Cedric
Vitter David
Fleming John
Graves Garret
Scalise Steve
Cassidy Bill
Abraham Ralph"
"MA
Warren Elizabeth
Neal Richard
Kennedy Joseph
Capuano Michael
Keating William
Moulton Seth
Markey Edward
Lynch Stephen
Tsongas Niki
Clark Katherine
McGovern James","MD
Harris Andy
Delaney John
Cardin Benjamin
Ruppersberger C.
Hoyer Steny
Edwards Donna
Cummings Elijah
Mikulski Barbara
Sarbanes John
Van Hollen Chris","ME
Poliquin Bruce
Pingree Chellie
Collins Susan
King Angus"
"MI
Miller Candice
Trott Dave
Kildee Daniel
Stabenow Debbie
Moolenaar John
Lawrence Brenda
Peters Gary
Dingell Debbie
Huizenga Bill
Benishek Dan
Levin Sander
Conyers John
Bishop Mike
Walberg Tim
Amash Justin
Upton Fred","MN
Klobuchar Amy
McCollum Betty
Emmer Tom
Franken Alan
Paulsen Erik
Nolan Richard
Ellison Keith
Walz Timothy
Kline John
Peterson Collin","MO
Wagner Ann
Long Billy
Graves Sam
Blunt Roy
Clay Wm.
Cleaver Emanuel
McCaskill Claire
Hartzler Vicky
Luetkemeyer Blaine
Smith Jason"
"MP
Sablan Gregorio","MS
Harper Gregg
Wicker Roger
Thompson Bennie
Palazzo Steven
Kelly Trent
Cochran Thad","MT
Tester Jon
Zinke Ryan
Daines Steve"
"NC
Adams Alma
Tillis Thom
Foxx Virginia
Burr Richard
Hudson Richard
Holding George
Jones Walter
Rouzer David
Butterfield George
Price David
Ellmers Renee
Meadows Mark
McHenry Patrick
Pittenger Robert
Walker Mark","ND
Cramer Kevin
Hoeven John
Heitkamp Heidi","NE
Sasse Benjamin
Fischer Deb
Smith Adrian
Ashford Brad
Fortenberry Jeff"
"NH
Ayotte Kelly
Shaheen Jeanne
Kuster Ann
Guinta Frank","NJ
Pascrell Bill
Pallone Frank
MacArthur Tom
Booker Cory
Sires Albio
LoBiondo Frank
Watson Coleman Bonnie
Garrett Scott
Payne Donald
Menéndez Robert
Lance Leonard
Smith Christopher
Norcross Donald
Frelinghuysen Rodney","NM
Lujan Grisham Michelle
Heinrich Martin
Udall Tom
Pearce Stevan
Luján Ben"
"NV
Heller Dean
Titus Dina
Heck Joseph
Reid Harry
Hardy Cresent
Amodei Mark","NY
Serrano José
Rice Kathleen
Meng Grace
Slaughter Louise
King Peter
Maloney Sean
Collins Chris
Crowley Joseph
Israel Steve
Stefanik Elise
Nadler Jerrold
Katko John
Higgins Brian
Clarke Yvette
Meeks Gregory
Tonko Paul
Hanna Richard
Maloney Carolyn
Gillibrand Kirsten
Donovan Daniel
Zeldin Lee
Lowey Nita
Schumer Charles
Gibson Christopher
Reed Tom
Jeffries Hakeem
Engel Eliot
Rangel Charles
Velázquez Nydia","OH
Ryan Tim
Gibbs Bob
Stivers Steve
Johnson Bill
Beatty Joyce
Chabot Steve
Latta Robert
Wenstrup Brad
Renacci James
Brown Sherrod
Tiberi Patrick
Fudge Marcia
Jordan Jim
Portman Robert
Kaptur Marcy
Turner Michael
Joyce David"
"OK
Russell Steve
Cole Tom
Lucas Frank
Lankford James
Inhofe James
Bridenstine Jim
Mullin Markwayne","OR
Walden Greg
Schrader Kurt
Bonamici Suzanne
DeFazio Peter
Merkley Jeff
Blumenauer Earl
Wyden Ron","PA
Doyle Michael
Fattah Chaka
Murphy Tim
Fitzpatrick Michael
Costello Ryan
Meehan Patrick
Barletta Lou
Marino Tom
Thompson Glenn
Shuster Bill
Casey Robert
Perry Scott
Toomey Patrick
Brady Robert
Kelly Mike
Dent Charles
Boyle Brendan
Pitts Joseph
Rothfus Keith
Cartwright Matthew"
"PR
Pierluisi Pedro","RI
Langevin James
Cicilline David
Reed John
Whitehouse Sheldon","SC
Mulvaney Mick
Gowdy Trey
Sanford Marshall
Graham Lindsey
Clyburn James
Wilson Joe
Duncan Jeff
Rice Tom
Scott Tim"
"SD
Noem Kristi
Rounds Mike
Thune John","TN
DesJarlais Scott
Roe David
Corker Bob
Cooper Jim
Alexander Lamar
Cohen Steve
Fleischmann Charles
Blackburn Marsha
Black Diane
Fincher Stephen
Duncan John","TX
Poe Ted
Johnson Sam
Green Gene
Green Al
Cornyn John
Granger Kay
Johnson Eddie
Jackson Lee Sheila
Gohmert Louie
Barton Joe
Flores Bill
Hurd Will
McCaul Michael
Ratcliffe John
Marchant Kenny
Farenthold Blake
Olson Pete
Smith Lamar
Babin Brian
Doggett Lloyd
Weber Randy
O'Rourke Beto
Castro Joaquin
Culberson John
Cuellar Henry
Williams Roger
Conaway K.
Veasey Marc
Vela Filemon
Neugebauer Randy
Hensarling Jeb
Carter John
Sessions Pete
Burgess Michael
Thornberry Mac
Brady Kevin
Hinojosa Rubén
Cruz Ted"
"UT
Hatch Orrin
Lee Mike
Love Mia
Bishop Rob
Chaffetz Jason
Stewart Chris","VA
Griffith H.
Kaine Timothy
Forbes J.
Goodlatte Bob
Comstock Barbara
Beyer Donald
Warner Mark
Brat David
Connolly Gerald
Hurt Robert
Wittman Robert
Scott Robert
Rigell Edward","VI
Plaskett Stacey"
"VT
Sanders Bernard
Welch Peter
Leahy Patrick","WA
Herrera Beutler Jaime
Reichert David
McMorris Rodgers Cathy
Murray Patty
McDermott Jim
Kilmer Derek
Heck Denny
Larsen Rick
Newhouse Dan
Cantwell Maria
DelBene Suzan
Smith Adam","WI
Johnson Ron
Duffy Sean
Grothman Glenn
Pocan Mark
Sensenbrenner F.
Baldwin Tammy
Kind Ron
Ryan Paul
Ribble Reid
Moore Gwen"
"WV
Jenkins Evan
Manchin Joe
Capito Shelley
McKinley David
Mooney Alex","WY
Lummis Cynthia
Barrasso John
Enzi Michael","undefined
 undefined
