lastname,firstname,birthday,type,state,party,website,phone,contact_form
Bill,Nelson,FL,Democrat,9/29/1942,202-224-5274,http://www.billnelson.senate.gov/contact-bill,https://www.billnelson.senate.gov
Gus,Bilirakis,FL,Republican,2/8/1963,202-225-5755,https://bilirakis.house.gov/email-congressman-bilirakis/,https://bilirakis.house.gov
Corrine,Brown,FL,Democrat,11/11/1946,202-225-0123,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,https://corrinebrown.house.gov
Vern,Buchanan,FL,Republican,5/8/1951,202-225-5015,https://buchanan.house.gov/email-me,https://buchanan.house.gov
Kathy,Castor,FL,Democrat,8/20/1966,202-225-3376,https://castor.house.gov/contact/contactform.htm,http://castor.house.gov
Ander,Crenshaw,FL,Republican,9/1/1944,202-225-2501,https://forms.house.gov/write/crenshaw/email-me.shtml,https://crenshaw.house.gov
Theodore,Deutch,FL,Democrat,5/7/1966,202-225-3001,https://teddeutch.house.gov/forms/writeyourrep/default.aspx,http://teddeutch.house.gov
Mario,Diaz-Balart,FL,Republican,9/25/1961,202-225-4211,http://mariodiazbalart.house.gov/contact-mario/write-rep-diaz-balart,http://mariodiazbalart.house.gov
Alcee,Hastings,FL,Democrat,9/5/1936,202-225-1313,https://alceehastings.house.gov/forms/writeyourrep/?zip5=33407&zip4=3224,http://alceehastings.house.gov
John,Mica,FL,Republican,1/27/1943,202-225-4035,https://mica.house.gov/contact-form,http://mica.house.gov
Jeff,Miller,FL,Republican,6/27/1959,202-225-4136,https://jeffmiller.house.gov/contact/contactform.htm,http://jeffmiller.house.gov
Richard,Nugent,FL,Republican,5/26/1951,202-225-1002,https://nugent.house.gov/contact/email-me,https://nugent.house.gov
Bill,Posey,FL,Republican,12/18/1947,202-225-3671,https://posey.house.gov/forms/writeyourrep/,http://posey.house.gov
Thomas,Rooney,FL,Republican,11/21/1970,202-225-5792,https://rooney.house.gov/email-me,https://rooney.house.gov
Ileana,Ros-Lehtinen,FL,Republican,7/15/1952,202-225-3931,https://ros-lehtinen.house.gov/contact-me/email-me,http://ros-lehtinen.house.gov
Dennis,Ross,FL,Republican,10/18/1959,202-225-1252,https://dennisross.house.gov/forms/writeyourrep/,http://dennisross.house.gov
Marco,Rubio,FL,Republican,5/28/1971,202-224-3041,http://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov
Debbie,Wasserman Schultz,FL,Democrat,9/27/1966,202-225-7931,http://wassermanschultz.house.gov/contact/email-me.shtml,http://wassermanschultz.house.gov
Daniel,Webster,FL,Republican,4/27/1949,202-225-2176,https://webster.house.gov/contact/contactform.htm,http://webster.house.gov
Frederica,Wilson,FL,Democrat,11/5/1942,202-225-4506,https://wilsonforms.house.gov/contact-form,http://wilson.house.gov
Alan,Grayson,FL,Democrat,3/13/1958,202-225-9889,https://grayson.house.gov/contact/email-me,http://grayson.house.gov
Ted,Yoho,FL,Republican,4/13/1955,202-225-5744,https://yoho.house.gov/contact/email-me,http://yoho.house.gov
Ron,DeSantis,FL,Republican,9/14/1978,202-225-2706,https://desantis.house.gov/contact/email-me,http://desantis.house.gov
Patrick,Murphy,FL,Democrat,3/30/1983,202-225-3026,http://patrickmurphy.house.gov/contact/,http://patrickmurphy.house.gov
Lois,Frankel,FL,Democrat,5/16/1948,202-225-9890,https://frankel.house.gov/contact/email-me,http://frankel.house.gov
David,Jolly,FL,Republican,10/31/1972,202-225-5961,https://jolly.house.gov/contact/email-me,http://jolly.house.gov
Curtis,Clawson,FL,Republican,9/28/1959,202-225-2536,,http://clawson.house.gov
Gwen,Graham,FL,Democrat,1/31/1963,202-225-5235,,https://graham.house.gov
Carlos,Curbelo,FL,Republican,3/1/1980,202-225-2778,,http://curbelo.house.gov
