"AK
Lisa Murkowski
Dan Sullivan
Don Young","AL
Terri Sewell
Gary Palmer
Bradley Byrne
Mo Brooks
Jefferson Sessions
Richard Shelby
Martha Roby
Mike Rogers
Robert Aderholt","AR
Bruce Westerman
John Boozman
French Hill
Steve Womack
Tom Cotton
Eric Crawford"
"AS
Aumua Amata","AZ
Trent Franks
Matt Salmon
Kyrsten Sinema
Martha McSally
Ruben Gallego
Jeff Flake
John McCain
Paul Gosar
Ann Kirkpatrick
Raúl Grijalva
David Schweikert","CA
Maxine Waters
Ami Bera
Alan Lowenthal
Paul Cook
Juan Vargas
Scott Peters
John Garamendi
Dianne Feinstein
Karen Bass
Xavier Becerra
Adam Schiff
Eric Swalwell
Loretta Sanchez
Edward Royce
Lucille Roybal-Allard
Janice Hahn
Ken Calvert
Barbara Boxer
Dana Rohrabacher
David Valadao
Julia Brownley
Mike Thompson
Linda Sánchez
Jackie Speier
Lois Capps
Nancy Pelosi
Mark DeSaulnier
Devin Nunes
Sam Farr
Grace Napolitano
Judy Chu
Steve Knight
Tony Cárdenas
Jerry McNerney
Tom McClintock
Anna Eshoo
Kevin McCarthy
Doug LaMalfa
Doris Matsui
Zoe Lofgren
Barbara Lee
Raul Ruiz
Jim Costa
Pete Aguilar
Ted Lieu
Mark Takano
Darrell Issa
Duncan Hunter
Michael Honda
Norma Torres
Susan Davis
Brad Sherman
Mimi Walters
Jared Huffman
Jeff Denham"
"CO
Ken Buck
Ed Perlmutter
Diana DeGette
Scott Tipton
Doug Lamborn
Michael Bennet
Jared Polis
Cory Gardner
Mike Coffman","CT
Richard Blumenthal
Christopher Murphy
James Himes
John Larson
Elizabeth Esty
Rosa DeLauro
Joe Courtney","DC
Eleanor Norton"
"DE
Thomas Carper
Chris Coons
John Carney","FL
Jeff Miller
John Mica
Corrine Brown
Carlos Curbelo
Gwen Graham
Theodore Deutch
Mario Diaz-Balart
Vern Buchanan
Patrick Murphy
Marco Rubio
Lois Frankel
Bill Posey
Ted Yoho
David Jolly
Curtis Clawson
Bill Nelson
Alan Grayson
Dennis Ross
Daniel Webster
Ileana Ros-Lehtinen
Richard Nugent
Ander Crenshaw
Thomas Rooney
Kathy Castor
Frederica Wilson
Gus Bilirakis
Alcee Hastings
Debbie Wasserman Schultz
Ron DeSantis","GA
Tom Price
Austin Scott
Lynn Westmoreland
Tom Graves
John Isakson
Doug Collins
Buddy Carter
Henry Johnson
Sanford Bishop
Rick Allen
Rob Woodall
David Perdue
David Scott
John Lewis
Jody Hice
Barry Loudermilk"
"GU
Madeleine Bordallo","HI
Tulsi Gabbard
Brian Schatz
Mark Takai
Mazie Hirono","IA
David Loebsack
Rod Blum
David Young
Charles Grassley
Joni Ernst
Steve King"
"ID
James Risch
Michael Simpson
Michael Crapo
Raúl Labrador","IL
John Shimkus
Luis Gutiérrez
Peter Roskam
Mike Quigley
Janice Schakowsky
Randy Hultgren
Tammy Duckworth
Robin Kelly
Danny Davis
Daniel Lipinski
Rodney Davis
Cheri Bustos
Darin LaHood
Richard Durbin
Bob Dold
Bobby Rush
Bill Foster
Adam Kinzinger
Mark Kirk
Mike Bost","IN
Todd Rokita
Susan Brooks
Larry Bucshon
Joe Donnelly
Peter Visclosky
Luke Messer
Marlin Stutzman
Jackie Walorski
André Carson
Daniel Coats
Todd Young"
"KS
Lynn Jenkins
Pat Roberts
Kevin Yoder
Mike Pompeo
Tim Huelskamp
Jerry Moran","KY
Harold Rogers
Rand Paul
John Yarmuth
Thomas Massie
Ed Whitfield
Brett Guthrie
Garland Barr
Mitch McConnell","LA
Charles Boustany
Cedric Richmond
David Vitter
John Fleming
Garret Graves
Steve Scalise
Bill Cassidy
Ralph Abraham"
"MA
Elizabeth Warren
Richard Neal
Joseph Kennedy
Michael Capuano
William Keating
Seth Moulton
Edward Markey
Stephen Lynch
Niki Tsongas
Katherine Clark
James McGovern","MD
Andy Harris
John Delaney
Benjamin Cardin
C. Ruppersberger
Steny Hoyer
Donna Edwards
Elijah Cummings
Barbara Mikulski
John Sarbanes
Chris Van Hollen","ME
Bruce Poliquin
Chellie Pingree
Susan Collins
Angus King"
"MI
Candice Miller
Dave Trott
Daniel Kildee
Debbie Stabenow
John Moolenaar
Brenda Lawrence
Gary Peters
Debbie Dingell
Bill Huizenga
Dan Benishek
Sander Levin
John Conyers
Mike Bishop
Tim Walberg
Justin Amash
Fred Upton","MN
Amy Klobuchar
Betty McCollum
Tom Emmer
Alan Franken
Erik Paulsen
Richard Nolan
Keith Ellison
Timothy Walz
John Kline
Collin Peterson","MO
Ann Wagner
Billy Long
Sam Graves
Roy Blunt
Wm. Clay
Emanuel Cleaver
Claire McCaskill
Vicky Hartzler
Blaine Luetkemeyer
Jason Smith"
"MP
Gregorio Sablan","MS
Gregg Harper
Roger Wicker
Bennie Thompson
Steven Palazzo
Trent Kelly
Thad Cochran","MT
Jon Tester
Ryan Zinke
Steve Daines"
